	WT_C_1	WT_C_2	WT_C_3	WT_E_1	WT_E_2	WT_E_3
YDL248W	278.787690548273	265.882317442798	326.77489445416	472.230719335176	427.371301230644	520.970203974577
YDL247W-A	0	2.37394926288213	12.2924725186518	0	0	10.668331822005
YDL247W	2.2482878270022	0	1.02437270988765	0	0	4.44513825916875
YDL246C	0	0	4.0974908395506	0	0	10.668331822005
YDL245C	24.7311660970242	7.12184778864638	10.2437270988765	54.1756083367315	29.9600499831792	24.892774251345
YDL244W	15.7380147890154	20.1785687344981	8.1949816791012	52.3697547255071	98.6919293563549	48.8965208508562
YDL243C	229.325358354224	224.338205342361	189.508951329215	454.172183222932	496.10318060382	305.82551223081
YDL242W	20.2345904430198	27.3004165231445	24.5849450373036	28.8936577795901	40.53418527136	33.7830507696825
YDL241W	170.869874852167	125.819310932753	128.046588735956	19.8643897234682	11.4553132288626	25.7818019031787
YDL240C-A	6.7448634810066	1.18697463144106	2.0487454197753	0.902926805612191	2.64353382204522	3.556110607335
YDL240W	376.588211022868	339.474744592144	567.502481277758	160.72097139897	185.928545483847	296.046208060639
YDL239C	165.249155284662	262.321393548475	238.678841403823	564.329253507619	704.942352545392	698.775734341327
YDL238C	185.483745727681	164.989473770308	178.240851520451	814.439978662196	471.430198264731	542.306867618587
YDL237W	1063.44014217204	747.79401780787	1011.05586465911	1271.32094230197	1448.65653448078	1813.61640974085
YDL236W	3597.26052320352	3709.29572325333	3297.45575312835	4746.68621710329	2154.48006496685	2547.06422250369
YDL235C	2316.86060572577	2763.2769419948	1781.38414249462	2016.23555693202	1507.69545650646	1456.22729370368
YDL234C	1209.57885092718	1277.18470343058	1696.36120757395	4168.81306151149	5087.04025155569	3467.20784215162
YDL233W	278.787690548273	280.126013020091	317.555540065172	552.591205034661	838.000221588335	682.77323660832
YDL232W	947.653319081427	1019.61120840787	839.985622107873	506.541937948439	469.667842383367	579.646028995605
YDL231C	1237.68244876471	1182.2267329153	1178.0286163708	886.674123111172	660.883455511305	693.441568430325
YDL230W	797.01803467228	909.222567683855	918.862320769222	948.073145892801	1667.18866376985	1833.17501808119
YDL229W	12069.9331992613	9151.5744084106	9272.62176990301	3369.7228385447	545.449145281997	1175.29455572422
YDL228C	46.0899004535451	59.3487315720532	51.2186354943825	11.7380484729585	4.4058897034087	0.88902765183375
YDL227C	1911.04465295187	1665.32540791181	1135.00496255552	155.303410565297	51.1083205595409	151.134700811737
YDL226C	2573.16541800402	2828.56054672406	2868.24358768542	2604.94383419117	2507.83241918023	2784.4346055433
YDL225W	2052.68678605301	2051.09216313016	2189.08448102991	2120.97506638304	1947.40324890665	2026.09401852912
YDL224C	591.299698501578	375.083983535376	542.917536240455	453.26925641732	728.734156943799	814.349329079715
YDL223C	248.435804883743	230.273078499566	193.606442168766	2473.11652057179	4301.91070640825	4637.16823196484
YDL222C	39.3450369725385	41.5441121004372	121.90035247663	166.138532232643	1484.78483004873	1723.82461690564
YDL221W	50.5864761075495	53.4138584148479	34.8286721361801	60.4960959760168	84.593082305447	60.453880324695
YDL220C	131.524837879629	94.9579705152851	115.754116217304	151.691703342848	105.741352881809	164.470115589244
YDL219W	1183.72354091666	1535.94517308474	1090.95693603035	706.088761988733	674.982302562213	703.220872600496
YDL218W	50.5864761075495	55.78780767773	49.1698900746072	83.9721929219338	144.513182271805	133.354147775062
YDL217C	530.595927172519	504.464218362452	598.233662574388	637.466324762207	506.677315892001	515.636038063575
YDL216C	382.208930590374	251.638621865506	395.407866016633	352.141454188755	578.933907027903	686.329347215655
