	WT_C_1	WT_C_2	WT_C_3	WT_E_1	WT_E_2	WT_E_3
YDL248W	8.30606947286369	8.26923860562643	8.43259864844816	8.74171305153268	8.65590647434815	8.82754500056229
YDL247W-A	1.43131145758401	1.65468684475192	2.27060680455857	1.41406279358715	1.41224121551234	2.19932780237597
YDL247W	0.323261485270127	0.124126844427749	0.218799973131524	0.116598905604234	0.11597646335999	0.496277159480408
YDL246C	0.7594059529819	0.762361036525324	1.13027043904148	0.748131592826272	0.746942770984331	1.54751658090963
YDL245C	4.54901393436003	3.94334392801866	4.073635251444	5.1241114299404	4.67920972019244	4.55416440497799
YDL244W	4.60448059849192	4.74009664754737	4.31702661966276	5.39192701541755	5.9257268200383	5.33842061869362
YDL243C	8.0120037950715	7.99496781973981	7.86578499389292	8.58423474095759	8.66311815960082	8.2441559290829
YDL242W	4.63591492337058	4.81355604335456	4.74790367779742	4.84980746882433	5.08222885958294	4.95483774878042
YDL241W	6.78033904423265	6.50081800828722	6.51817460845951	5.16735964057578	4.91288741901943	5.31195282554933
YDL240C-A	1.69906152362814	1.31723540163097	1.38497053314882	1.28470109934098	1.43135813753877	1.50019493095332
YDL240W	8.41837153880937	8.32972860000185	8.78307252577896	7.74236236373671	7.84892199485743	8.21534857392138
YDL239C	7.95278543105051	8.28816667802803	8.21600193852441	8.92402825847807	9.12469250934342	9.11663682811757
YDL238C	7.92868080915906	7.8458708449637	7.89960654654586	9.17972810382622	8.68137356017075	8.80591928854665
YDL237W	10.1213407239636	9.83986737156182	10.0797020891799	10.2715285077802	10.38430962809	10.5837220244107
YDL236W	11.7536963339736	11.7802095822298	11.679178891077	11.998056352507	11.3310312353681	11.4645838170052
YDL235C	11.070907939672	11.2232012588474	10.847759231851	10.9517969118616	10.7125819077757	10.6853321679063
YDL234C	10.7060334649172	10.7461198169832	10.9633663090747	11.7335861848234	11.9185453233725	11.5666530874849
YDL233W	8.438800820598	8.44255562603442	8.53811945763997	8.99343918811933	9.36470378371402	9.17934728596131
YDL232W	9.71227077911162	9.7771921699105	9.60681585382066	9.18745130142109	9.12825453759616	9.29535487445028
YDL231C	10.1184763230054	10.0782430232632	10.0751872311358	9.83263964431739	9.59454520311644	9.63255418420535
YDL230W	9.8544338492905	9.95989535707477	9.96840157697596	9.99388938376593	10.4790119644762	10.5647428024468
YDL229W	12.9931106415874	12.7257612723569	12.7382958178073	11.8375551484829	10.643959922433	11.068079090916
YDL228C	4.95996747440343	5.16819891198314	5.04862264285437	4.05634575026831	3.67622467375809	3.42542607117963
YDL227C	10.1992047276334	10.0618192420098	9.68979051626747	8.08076536431257	7.50656124568228	8.06342596588372
YDL226C	11.3562670729498	11.4364791811279	11.4483946008708	11.3665905669802	11.3346998285362	11.4230724002327
YDL225W	11.0064048658232	11.0057477741707	11.0611168419979	11.034171589717	10.9620698299301	10.9953829545887
YDL224C	9.18376054421725	8.81627055388144	9.11229460999989	8.96480738147342	9.36335104254211	9.4612460765781
YDL223C	9.02666808237553	8.98393918950516	8.88895056743831	10.8286812481304	11.3711633255138	11.4469746263306
YDL222C	6.79829260519228	6.82510201697843	7.44910951646365	7.67405185337458	9.67627778396513	9.83157207311671
YDL221W	5.73404877132269	5.77322445099589	5.48154573796796	5.86532743561363	6.12874867554075	5.86482393414279
YDL220C	7.00912251896712	6.75994405169266	6.90833934121095	7.12498690519042	6.83869268480087	7.19143459212489
YDL219W	10.0745120278635	10.2983849437098	10.0044981112223	9.64805065540542	9.61374097963951	9.64491926591214
YDL218W	5.98986854721069	6.05741812616516	5.9696897845376	6.35881484453504	6.80767270239947	6.73834454573355
YDL217C	9.06997581175725	9.02823327773216	9.17081107334189	9.22490853621249	9.0317591712081	9.04622781071666
YDL216C	8.63946560706973	8.31260647636108	8.66729090886396	8.57283495814898	8.99228128903525	9.14380292619396
YDL215C	10.8123390109115	10.9147639671172	11.1480431291443	11.9687998424968	12.0601793703626	11.6346281506363
YDL214C	6.66651621858828	6.6599807204739	6.8536322541665	8.22524345515536	8.81513178575999	8.39791067245479
YDL213C	11.1555906173074	11.274389155333	10.9188770667036	10.2898787599248	9.9600216290761	10.0482570018407
YDL212W	12.3570692040333	12.5940735545223	12.2168307070575	11.6621527184134	11.725251032179	11.8195047254508
YDL211C	7.3894495764964	6.86522209344769	7.05454511607246	6.34782815539093	6.91922137771686	6.42474288392508
tG(GCC)D1	0	0	0	0	0	0
YDL210W	7.54366471546173	7.72613004014397	6.91628414893496	8.22536873033189	7.36291971215722	7.35139053967626
YDL209C	8.44484522763136	8.42018108660402	8.57103216659074	8.13849619967601	8.13337873991793	8.43315734067784
YDL208W	12.5515461542325	12.6553471830316	12.3237020998135	11.3925834802598	10.7860504894933	11.169680612308
YDL207W	9.95510193806983	9.66507890139559	9.84451127412866	9.8309678298163	9.90948237473358	9.80113796236596
YDL206W	9.06044261556011	8.9362786248435	9.26378577816853	9.30198325359657	9.75845840506229	9.78541650828256
YDL205C	10.7618770999518	10.891750398744	10.9141816122575	10.4823688008551	10.5142263739108	10.6861061809915
YDL204W	10.0481108850483	9.91460144577142	10.3331275304741	11.938790978556	12.8022824220996	13.0222766277169
