	WT_C_1	WT_C_2	WT_C_3	WT_E_1	WT_E_2	WT_E_3
YDL248W	8.1281886813138	8.0600599112056	8.35656154685533	8.88639991770863	8.74271801963153	9.02782364445301
YDL247W-A	0	1.75443827868217	3.73253757863023	0	0	3.54452641393185
YDL247W	1.69967947371487	0	1.0174749309436	0	0	2.44496868131771
YDL246C	0	0	2.34978727764809	0	0	3.54452641393185
YDL245C	4.68544493416946	3.02180799000261	3.49104843789867	5.78595872586343	4.95233589551783	4.69447764429819
YDL244W	4.06505652218534	4.40453318896674	3.20084670008624	5.73795047595113	6.63940480965271	5.64086731874238
YDL243C	7.84752944744425	7.81594812822646	7.57371497612782	8.83026858320005	8.95740152384719	8.26127463623559
YDL242W	4.40834437821255	4.82275138156476	4.67722322897815	4.90176753046517	5.37622734989127	5.12031256971901
YDL241W	7.42517288287404	6.98663063293097	7.0117481949899	4.38297081775073	3.63868939812364	4.74318112460584
YDL240C-A	2.95323980880043	1.12893648544936	1.60821568561763	0.928220070696991	1.86533838294701	2.18780277134733
YDL240W	8.56066991166635	8.41140397713692	9.15102283567203	7.33736296426662	7.54634308675177	8.21454356172527
YDL239C	7.37720320004434	8.04068092768916	7.90495874478132	9.14294754234635	9.4634065671911	9.45074882784149
YDL238C	7.54290607773508	7.37494794567897	7.48575567521294	9.67143487949768	8.88395737613198	9.08562347314814
YDL237W	10.0558791080835	9.54842509890358	9.98307321248306	10.3132469202718	10.5014954092487	10.8254488950031
YDL236W	11.8130839298193	11.8573184638177	11.6875750367884	12.2130088725509	11.0737935044244	11.3151859250192
YDL235C	11.1785780910948	11.4326864455502	10.7995925871485	10.9781638450508	10.5590858991883	10.5090102066247
YDL234C	10.2414813368504	10.3198806119245	10.7290778954613	12.0257669917671	12.3128943685096	11.7599746433881
YDL233W	8.1281886813138	8.13507314444897	8.31540111764435	9.11267721267409	9.71252738147004	9.41737414549706
YDL232W	9.88973714717866	9.99521767533969	9.71593732546206	8.98738322620155	8.87856547637127	9.18151513165243
YDL231C	10.2745906672085	10.2085108377227	10.2033830192607	9.79388633114923	9.37043339931794	9.43970949811784
YDL230W	9.64027754053094	9.83007554611155	9.8452741335449	9.89037547106765	10.704066744244	10.8409155929902
YDL229W	13.5592495941596	13.159961882032	13.178917171412	11.7188422896478	9.09394342901442	10.2000336551015
YDL228C	5.55734576771957	5.91525154318432	5.70649285450657	3.67107236196003	2.43453207680628	0.917643820239486
YDL227C	10.9009005003657	10.7024544491939	10.1497534218274	7.28820544829118	5.70344185264154	7.24920544855119
YDL226C	11.3298890499791	11.4663622930932	11.4864547371981	11.3475902745516	11.2928003918811	11.443686730484
YDL225W	11.0040004533364	11.0028798110773	11.0967708065489	11.0511919890689	10.9280765786078	10.985197288573
YDL224C	9.21018354153251	8.55491105673229	9.08724412971529	8.82740386119382	9.51122717388976	9.67127449127019
YDL223C	7.96252475927523	7.85345352762236	7.60441565904635	11.2726977314972	12.0710971865893	12.179339433887
YDL222C	5.33431930679218	5.41088757859018	6.94134524312206	7.38490056142965	10.5370094859368	10.7522339583303
YDL221W	5.68892099367877	5.76590222651256	5.16304267100517	5.94242292005765	6.41942229657318	5.94143220310047
YDL220C	7.05011896550785	6.58433074023759	6.86732960344936	7.25447786375421	6.73797539161276	7.37042687518044
YDL219W	10.2103347254895	10.5858499858459	10.0927002458644	9.46574752000468	9.40084166654854	9.45988417805353
YDL218W	5.68892099367877	5.82750931174755	5.64874987195723	6.40891889264287	7.18500604487873	7.06989705062818
YDL217C	9.05418624120876	8.98146515763367	9.22697486074265	9.31846671827003	8.98776798858316	9.0130044722593
YDL216C	8.58198737289556	7.980931396258	8.63084178032787	8.4641023743449	9.17974468064194	9.4248577498639
YDL215C	10.3043944008127	10.5056696080539	10.9416134414942	12.3082926482041	12.4493950619175	11.7761554304034
YDL214C	5.68892099367877	5.66825912356312	6.1427676199849	8.63111134466299	9.51644403509937	8.8967253257859
YDL213C	11.4980005613286	11.6813138967413	11.1235132024078	10.0475701368165	9.41208153459318	9.58873134608386
YDL212W	12.5500694336692	12.9258545762074	12.3212916149445	11.3505864155149	11.4677200255376	11.638912431256
YDL211C	7.79006958924185	6.90324876604778	7.23417954126444	5.89942320657044	6.9987554032301	6.06151800627375
tG(GCC)D1	0	0	0	0	0	0
YDL210W	7.56876313135866	7.88277127862245	6.35623968287999	8.6890706575681	7.2449006400301	7.22368914832163
YDL209C	8.51263234243276	8.47053052103314	8.72465557977186	7.9721798384434	7.96285078248364	8.49252287767581
YDL208W	12.9931669088947	13.1494460761672	12.6429900485703	11.0640263105489	9.79067862913685	10.6304921820681
YDL207W	10.040561934551	9.53924823852395	9.8532848879441	9.830114735394	9.9636091230081	9.77884968854142
YDL206W	8.83732021649045	8.60414808522762	9.2020991716002	9.26864978945852	10.0259040792687	10.06885400508
YDL205C	10.7999033384072	11.0161701838031	11.0529243522042	10.314270393183	10.3712640066261	10.6711763096084
YDL204W	8.61545338348046	8.20056876487635	9.36111674319595	12.3049498651114	13.5737629093439	13.8811797715475
YDL203C	9.15719776699441	9.05413666587534	9.2071087413445	9.2366174121878	9.35498549097192	9.32039860027931
YDL202W	9.87253926817517	9.62632620252711	9.37898382206835	10.7315806003086	10.7431597410853	10.1399184543431
YDL201W	10.324770177102	9.89626224213613	9.67855400592175	8.86141070996687	8.69750151004693	9.00553740976925
YDL200C	9.97600383738939	10.3252296660192	9.04590145507324	10.5375237955217	10.3960052032925	10.1758438570792
YDL199C	7.44392289156018	7.33307997250944	7.93546390234413	8.71719989385696	9.91703042165026	9.6442814678462
YDL198C	12.8685921126318	12.6555770357589	12.1439106578107	10.5840912131135	10.746863453404	10.8569099672088
YDL197C	9.0357642789203	8.40636561706781	9.0980716435382	8.98481435844657	9.89182719923227	10.0556580725092
YDL196W	4.06505652218534	2.79386949507312	3.03044360886343	4.10874878895441	4.34950078540685	5.29381882975682
YDL195W	10.2928052843256	10.2763588418826	10.5033405424598	10.3694717657321	11.0282587099896	10.8856672564175
YDL194W	7.54290607773508	6.7840022253474	8.37893101028322	8.50411841662528	8.99026991058119	8.92866086282721
YDL193W	9.44003194287622	9.13859429109115	9.62153587437653	9.33872656289704	10.3284027837023	10.1170021342595
YDL192W	13.8235622841383	14.0703420590332	13.8108628327748	13.1861308893728	12.8911673602106	13.0025909351558
YDL191W	13.6988537688992	13.9447826024276	13.4287982344094	12.3251452399946	11.9198533445674	12.3526671290944
YDL190C	10.4906303605115	10.497400925753	10.6658961365603	10.7693871073902	10.5940492244725	10.6569478465033
YDL189W	9.70970948529546	9.70639787675812	9.86759309976651	9.26441967601036	9.38191173899351	9.70547331484647
YDL188C	10.1714864637916	9.98849057710489	10.5002828529551	9.94558011768775	10.1981122832097	10.273373058085
YDL187C	0	0	1.60821568561763	0	0	0
YDL186W	6.21080485695305	6.02451095522135	6.12169868610604	5.21401101080012	6.46330555955085	6.44684645974692
YDL185C-A	5.7504661925584	4.88202628300985	5.89212977399376	5.73795047595113	4.86778253114211	5.5341989110727
YDL185W	12.3204425555061	12.4493646951526	12.7632939642053	12.4170942508026	12.3494069094465	12.5240321190614
YDL184C	12.6151061253703	12.908141279187	12.5780085117684	11.360033352646	11.2785420553857	11.5972948114025
YDL183C	8.11654879754419	8.14115169046971	8.70354136729068	9.20164697094837	9.90514691926526	9.3303947974993
YDL182W	12.4828121566755	12.1608676230342	12.5069177990382	9.74614556437874	9.09394342901442	10.2141392769239
YDL181W	11.3499103827114	11.408951646063	10.4494008125042	11.8590447270733	11.7479228745067	11.8051180061198
YDL180W	9.98563372154187	9.92649203252321	9.99035606336896	9.28753329576663	9.732091997826	9.72227345006765
YDL179W	10.7989933443465	10.8600124724525	9.85488171492936	9.96395684925342	10.3004491812497	10.0532457901996
YDL178W	11.4793767967336	11.6901509655263	11.2713386987976	11.8649938382588	11.4992421588934	11.4110886412636
YDL177C	9.34846111126483	9.84690905787776	9.35209953461013	9.11267721267409	9.16210045287697	9.35410681171779
YDL176W	8.90992143069438	8.98822501755752	9.2020991716002	9.34875078322626	9.51644403509937	9.27557338991857
YDL175C	9.29524617261718	9.00831660691829	9.37898382206835	8.82165729528463	9.10783486390956	9.0179611289746
YDL174C	12.0213131672115	11.6362978869296	11.5099554448732	12.1404243475757	11.8946998211018	11.8011699621986
YDL173W	10.5163258314887	10.5209011216878	10.1742616454303	10.157725223434	10.1157223629031	10.0901903409556
YDL172C	0	2.79386949507312	1.60821568561763	1.89094485373502	2.65238728550683	0
YDL171C	11.067344668159	11.5736300903715	11.4075928407047	9.82581505723198	10.4203292497636	10.2355744596721
YDL170W	9.94013390836422	9.34490642358452	9.46095558572829	9.16353796598527	8.84854434125098	9.41737414549706
