Geneid	WT_C_1	WT_C_2	WT_C_3	WT_E_1	WT_E_2	WT_E_3
YDL248W	248	224	319	523	485	586
YDL247W-A	0	2	12	0	0	12
YDL247W	2	0	1	0	0	5
YDL246C	0	0	4	0	0	12
YDL245C	22	6	10	60	34	28
YDL244W	14	17	8	58	112	55
YDL243C	204	189	185	503	563	344
YDL242W	18	23	24	32	46	38
YDL241W	152	106	125	22	13	29
YDL240C-A	6	1	2	1	3	4
YDL240W	335	286	554	178	211	333
YDL239C	147	221	233	625	800	786
YDL238C	165	139	174	902	535	610
YDL237W	946	630	987	1408	1644	2040
YDL236W	3200	3125	3219	5257	2445	2865
YDL235C	2061	2328	1739	2233	1711	1638
YDL234C	1076	1076	1656	4617	5773	3900
YDL233W	248	236	310	612	951	768
YDL232W	843	859	820	561	533	652
YDL231C	1101	996	1150	982	750	780
YDL230W	709	766	897	1050	1892	2062
YDL229W	10737	7710	9052	3732	619	1322
YDL228C	41	50	50	13	5	1
YDL227C	1700	1403	1108	172	58	170
YDL226C	2289	2383	2800	2885	2846	3132
YDL225W	1826	1728	2137	2349	2210	2279
YDL224C	526	316	530	502	827	916
YDL223C	221	194	189	2739	4882	5216
YDL222C	35	35	119	184	1685	1939
YDL221W	45	45	34	67	96	68
YDL220C	117	80	113	168	120	185
YDL219W	1053	1294	1065	782	766	791
YDL218W	45	47	48	93	164	150
YDL217C	472	425	584	706	575	580
YDL216C	340	212	386	390	657	772
YDL215C	1124	1224	1919	5616	6346	3944
YDL214C	45	42	68	438	830	535
YDL213C	2572	2766	2177	1171	772	865
YDL212W	5334	6555	4995	2891	3213	3586
YDL211C	196	100	146	65	144	74
tG(GCC)D1	0	0	0	0	0	0
YDL210W	168	198	79	456	171	167
YDL209C	324	298	412	277	282	404
YDL208W	7252	7654	6243	2370	1004	1782
YDL207W	936	626	902	1007	1132	987
YDL206W	406	327	574	682	1182	1207
YDL205C	1585	1744	2073	1409	1502	1833
YDL204W	348	247	641	5603	13836	16971
YDL203C	507	447	576	667	742	718
YDL202W	833	665	649	1882	1944	1268
YDL201W	1140	802	799	514	470	577
YDL200C	895	1080	515	1645	1528	1300
YDL199C	154	135	238	465	1096	899
YDL198C	6652	5435	4417	1699	1949	2085
YDL197C	466	285	534	560	1077	1196
YDL196W	14	5	7	18	22	43
YDL195W	1115	1044	1416	1464	2369	2127
YDL194W	165	92	324	401	576	547
YDL193W	617	474	768	716	1458	1248
YDL192W	12896	14492	14028	10321	8620	9230
YDL191W	11828	13284	10764	5682	4396	5882
YDL190C	1279	1217	1585	1932	1753	1815
YDL189W	744	703	911	680	756	938
YDL188C	1025	855	1413	1091	1332	1391
YDL187C	0	0	2	0	0	0
YDL186W	65	54	67	40	99	97
YDL185C-A	47	24	57	58	32	51
YDL185W	4549	4711	6786	6056	5921	6624
YDL184C	5580	6475	5968	2910	2818	3484
YDL183C	246	237	406	651	1087	723
YDL182W	5091	3857	5681	950	619	1335
YDL181W	2321	2290	1364	4113	3902	4024
YDL180W	901	819	992	691	964	949
