ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0005975	carbohydrate metabolic process	82/783	279/6015	0.293906810035842	2.25778986253588	8.32212712640503	1.10529688316088e-13	1.54631033954207e-10	1.37987589834611e-10	YGR256W/YOR120W/YDL085W/YGL156W/YGR043C/YJR096W/YPR184W/YHR104W/YDL021W/YPR026W/YDR001C/YBR001C/YMR196W/YMR170C/YML070W/YEL070W/YBR149W/YBR053C/YIL107C/YDR009W/YIL099W/YMR280C/YFR053C/YBR056W/YER054C/YOR374W/YPR160W/YGR087C/YIL155C/YIL162W/YLR273C/YNL241C/YGR066C/YLR070C/YAL017W/YBR297W/YEL012W/YHR043C/YLR345W/YCL040W/YNR001C/YDL078C/YIL097W/YGR248W/YGR194C/YHL032C/YNR007C/YLR174W/YGL062W/YKR097W/YIR007W/YLR144C/YCR073W-A/YIL024C/YDR511W/YBR126C/YGR223C/YFR017C/YJL155C/YCL039W/YIL045W/YNL117W/YGR292W/YGR032W/YLL026W/YBR299W/YGL227W/YER062C/YIL017C/YDL022W/YOL157C/YJR159W/YBR019C/YMR105C/YKR058W/YNL009W/YML100W/YBR105C/YGR289C/YLR258W/YKL035W/YBR018C	82
GO:0044282	small molecule catabolic process	59/783	177/6015	0.333333333333333	2.56066411238825	8.15253659535355	1.1659837119719e-12	8.15605606524346e-10	7.27819306525619e-10	YOR120W/YGL156W/YJR096W/YHR104W/YOR391C/YIL160C/YDL021W/YMR170C/YMR250W/YAL060W/YML070W/YNL274C/YPR127W/YGR019W/YPL280W/YOR040W/YDR148C/YFR053C/YOR388C/YDR216W/YBR222C/YDR272W/YFR047C/YAL054C/YNL202W/YJR019C/YOR374W/YGR087C/YIL155C/YJL068C/YDR287W/YEL020C/YKR009C/YLR070C/YDR533C/YGL205W/YHR037W/YCL040W/YPR006C/YDL078C/YJR078W/YGR194C/YDL215C/YHL032C/YDR530C/YML004C/YPL147W/YDR036C/YBR006W/YKL188C/YMR165C/YPL275W/YLR284C/YJR159W/YPL095C/YBR019C/YMR105C/YNL009W/YBR018C	59
GO:0032787	monocarboxylic acid metabolic process	56/783	185/6015	0.302702702702703	2.32535984260122	7.08294908180923	3.22729333356599e-10	1.50499445788627e-07	1.34300698021378e-07	YGR256W/YML042W/YMR169C/YDL110C/YBR026C/YOR391C/YIR033W/YIL160C/YDL021W/YOL002C/YMR170C/YNL274C/YBL015W/YGR019W/YPL280W/YOR040W/YMR280C/YFR053C/YOR388C/YDR216W/YBR222C/YDR272W/YGL055W/YAL054C/YNL202W/YJR019C/YOR374W/YNR033W/YGR087C/YEL020C/YKR009C/YKL192C/YDR533C/YGL205W/YLR345W/YCL040W/YPR006C/YDL078C/YLR118C/YLR174W/YML004C/YAR035W/YPL147W/YBR006W/YKL188C/YMR165C/YPL275W/YMR020W/YNL117W/YLR284C/YML054C/YER015W/YPL095C/YNL009W/YMR246W/YOR100C	56
GO:0006091	generation of precursor metabolites and energy	65/783	233/6015	0.278969957081545	2.14304507259961	6.88384365221041	5.50860389695663e-10	1.92663421296058e-07	1.71926426889225e-07	YBR117C/YGR256W/YDL085W/YJL045W/YGR043C/YPR184W/YBR026C/YKL093W/YDL021W/YMR170C/YML070W/YOL071W/YMR118C/YIL099W/YGR244C/YDR148C/YFR053C/YKL085W/YPR140W/YFR049W/YER054C/YAL054C/YOR374W/YIL125W/YPR160W/YGR087C/YLR273C/YDR031W/YML110C/YIL057C/YNL241C/YAL017W/YML120C/YOR358W/YLR345W/YCL040W/YNR001C/YDL078C/YMR056C/YPL262W/YGR248W/YGL018C/YNR007C/YPR155C/YLR174W/YGL062W/YCR073W-A/YIL024C/YMR165C/YGR223C/YMR267W/YFR017C/YIL045W/YEL039C/YNL117W/YMR315W/YJL116C/YDR178W/YLR164W/YMR105C/YIL070C/YKR058W/YNL009W/YLR258W/YKL035W	65
GO:0098754	detoxification	26/783	57/6015	0.456140350877193	3.50406668011024	7.3478755659743	1.44578850674364e-09	4.04531624186872e-07	3.60990561894308e-07	YKR076W/YKL026C/YIR038C/YBL064C/YDR453C/YOR391C/YCL035C/YIR037W/YPL280W/YOR040W/YOR388C/YDR272W/YHR008C/YJL068C/YHR106W/YGR088W/YHL035C/YDR533C/YIL010W/YLR109W/YDR406W/YML004C/YOR153W/YOR328W/YDR513W/YKL086W	26
GO:0042180	ketone metabolic process	26/783	59/6015	0.440677966101695	3.38528475875057	7.12225665523988	3.61600859722304e-09	8.43132671252505e-07	7.52383543211671e-07	YOR120W/YDL124W/YOR391C/YIR033W/YAL060W/YML070W/YDR204W/YBR149W/YPL280W/YOR040W/YMR280C/YMR110C/YDR216W/YOL096C/YDR272W/YGL039W/YGR087C/YML110C/YGR255C/YDR533C/YOR125C/YJR078W/YMR152W/YML004C/YLR201C/YBR003W	26
GO:1990748	cellular detoxification	22/783	45/6015	0.488888888888889	3.75564069816943	7.17745381843743	5.36935558557484e-09	1.01541052704489e-06	9.06118569711631e-07	YKR076W/YKL026C/YIR038C/YBL064C/YDR453C/YOR391C/YCL035C/YIR037W/YPL280W/YOR040W/YOR388C/YDR272W/YHR008C/YJL068C/YHR106W/YGR088W/YDR533C/YIL010W/YLR109W/YML004C/YDR513W/YKL086W	22
GO:0009636	response to toxic substance	27/783	64/6015	0.421875	3.24084051724138	6.97163570716196	5.80649336408802e-09	1.01541052704489e-06	9.06118569711631e-07	YKR076W/YKL026C/YIR038C/YBL064C/YDR453C/YOR391C/YOL002C/YCL035C/YIR037W/YPL280W/YOR040W/YOR388C/YDR272W/YHR008C/YJL068C/YHR106W/YGR088W/YHL035C/YDR533C/YIL010W/YLR109W/YDR406W/YML004C/YOR153W/YOR328W/YDR513W/YKL086W	27
GO:0097237	cellular response to toxic substance	22/783	46/6015	0.478260869565217	3.67399633516575	7.04235087472525	9.04528432784942e-09	1.40603919718459e-06	1.25470259799174e-06	YKR076W/YKL026C/YIR038C/YBL064C/YDR453C/YOR391C/YCL035C/YIR037W/YPL280W/YOR040W/YOR388C/YDR272W/YHR008C/YJL068C/YHR106W/YGR088W/YDR533C/YIL010W/YLR109W/YML004C/YDR513W/YKL086W	22
GO:0016052	carbohydrate catabolic process	38/783	115/6015	0.330434782608696	2.5383974679327	6.44347571495194	1.79154058789586e-08	2.42770452050908e-06	2.16640273979442e-06	YOR120W/YGL156W/YJR096W/YPR184W/YHR104W/YDL021W/YPR026W/YDR001C/YBR001C/YMR170C/YML070W/YIL099W/YFR053C/YBR056W/YOR374W/YPR160W/YGR087C/YIL155C/YIL162W/YLR070C/YLR345W/YCL040W/YGR194C/YHL032C/YNR007C/YIR007W/YLR144C/YIL024C/YGR223C/YFR017C/YGR292W/YBR299W/YOL157C/YJR159W/YBR019C/YMR105C/YGR289C/YBR018C	38
