gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
APLP2	8392.249966235	1.19583623367026	0.0561103731008671	8.73415470325632e-102	1.36051927812624e-97
NID1	6124.72590565152	1.10310443163345	0.0555335233374	4.42499716274013e-89	3.44640904020015e-85
LAMC1	5683.46708801965	1.16603378256457	0.0660921360190761	7.74193948754596e-71	4.01987304658345e-67
MAT2B	2195.38649042855	-1.10940813782542	0.0651247291436406	2.95636181626277e-66	1.15128120029813e-62
CDKN1A	2752.3933381421	1.15977941607308	0.069167650403722	3.17368124048423e-64	9.88728653660458e-61
CTNNB1	11003.5498447108	0.85602742064699	0.0518059847146414	1.59810609881174e-62	4.14894978353175e-59
ZFP36L1	1577.70646783558	1.1121644943114	0.0683834509706175	1.39628080701737e-60	3.10712373298708e-57
COL2A1	3444.44875424512	0.961817686733941	0.0627663269269105	3.68148390867613e-54	7.168309355681e-51
TMCO1	1718.75785610096	1.02340219961146	0.0673801310797132	3.17243952915296e-53	5.49078783840174e-50
AKT3	3308.65194469616	-0.979107535472007	0.0650030177418144	1.54362716138725e-52	2.40450802929292e-49
NUCKS1	23622.5901572346	-0.778489515465284	0.0519186246150443	4.25137820328538e-52	6.02033802477967e-49
DHRS2	539.251174421826	1.68233645728761	0.114945711645975	1.46166295342861e-49	1.89736031879645e-46
FOSB	638.362878285845	1.39812023882951	0.0975502496119151	9.32822648661981e-48	1.11773679986213e-44
WDFY1	1422.73609085685	0.990861552410129	0.0704143910839817	3.77981424066764e-46	4.20558331620571e-43
TMEM194A	3819.93008005791	-0.866677069493349	0.0625141222147007	6.47685626667563e-45	6.72599933773376e-42
MAPKAP1	2178.22292499371	-0.840707801539529	0.0621473625628872	7.67968933841228e-43	7.47665755152801e-40
KLF10	1694.21092469274	0.973258126967118	0.0719871424855628	8.95728347486315e-43	8.20750615811431e-40
LAMP2	2645.5026965304	0.98532403078122	0.0731367121405832	1.80662567706486e-42	1.5634337873133e-39
DLG3	4543.65763909371	-0.730246125294211	0.0549857121738267	2.1212647472584e-41	1.73910215621284e-38
PNMAL1	1734.65465002028	-0.846450942325669	0.0640060268235123	3.94197106544344e-41	3.07020416432062e-38
LPGAT1	2733.26058793651	-0.903390898739027	0.0684775645505757	6.39969349371365e-41	4.7470488357894e-38
RAP1A	1268.976643139	-1.0138238435612	0.0770511664159486	1.06484148360669e-40	7.53956172279155e-38
KIF1C	2535.63852846747	-0.812659170575987	0.0619711629299993	1.78359715901156e-40	1.20796056286622e-37
EIF2S1	4042.13945168762	-0.901590175308786	0.0693863893038931	8.2165441906408e-40	5.33287953573382e-37
KIAA1462	997.245360748972	-0.997438653167752	0.0768775273716217	1.0665645685339e-39	6.64555051362101e-37
AMOT	24418.1290244355	-0.621864056993687	0.0479109717571129	1.37403994027679e-39	8.23208467295828e-37
WASF3	1229.64323505082	-1.00794908208304	0.0780238898402372	2.26450289159669e-39	1.30645042749636e-36
ACTA2	267.836105952352	1.6195582148458	0.128584727994041	1.40801119364771e-37	7.83306798694654e-35
PRKAR2B	977.626496545649	-0.996852551531765	0.0799066813498653	6.23886286828414e-37	3.351129893078e-34
FYCO1	1660.32927912442	0.90560148291651	0.0726513792444177	8.32319667198164e-37	4.32168115198193e-34
TRIM2	1425.47657786478	-1.02416060487539	0.0836128123476486	8.19327489669277e-36	4.11698848599301e-33
PPT1	3590.42704409861	0.664023318172854	0.054043456090748	1.0877259043984e-35	5.29484575400432e-33
RPS27L	668.268507121135	1.04075326059791	0.0858370606591921	5.94433611028055e-35	2.8059067754497e-32
EPB41L5	1362.89891704048	-0.941308156432188	0.0780468066359421	9.09062667488589e-35	4.16484387396169e-32
ANKRD52	4097.52744412693	0.733861988976514	0.060739899690413	1.19459765582893e-34	5.31664219567066e-32
SOX11	10943.5777325019	-0.715443245717395	0.0595858281610866	2.54910069779263e-34	1.10298171026433e-31
NOLC1	7056.71775112851	-0.596363867616568	0.0496676377640774	2.73753266296217e-34	1.15250125110707e-31
FAM117B	887.75386839544	-1.01157585865925	0.0848204272756334	4.94350130603883e-34	2.02644525905702e-31
CCND2	2962.02378000039	-0.771277586153277	0.0646889988199812	6.16884279238555e-34	2.46389908146128e-31
TNFRSF10B	4115.69763125104	0.674039412513269	0.056534351838496	9.11617214058225e-34	3.55006533584624e-31
NUP210	6157.52179639125	0.679301792145176	0.0569481231206312	9.61745706302891e-34	3.65392996758052e-31
HIF1A	4013.90716857252	0.622336129797112	0.0523705976353076	1.13395029883764e-33	4.20560566785568e-31
TTPAL	1053.19247330771	0.9046064502455	0.0768763372356934	4.28406953909775e-33	1.5519290979192e-30
CBX3	6078.0792287351	-0.689375063086689	0.0589589115848145	1.10731232380311e-32	3.92013728815477e-30
EGR1	2275.17422063908	0.930760971391364	0.0807788842652653	7.86203956005666e-32	2.72148867171117e-29
POLR2D	2314.14421625006	-0.674112905518389	0.0590755515867135	3.141464510249e-31	1.06379549295975e-28
DIXDC1	710.772019314589	-1.05387820336387	0.0929758459840593	4.52359608929716e-31	1.48993993973481e-28
PDIK1L	1156.77530008077	-0.857455989664416	0.0754609405371801	4.59119966022155e-31	1.48993993973481e-28
SEPT3	583.379658201558	-1.21802412577175	0.107910874666792	7.00523058311959e-31	2.22694850598477e-28
SQSTM1	3947.4648428651	0.80616784582015	0.0710858152165539	8.96910238845317e-31	2.7942341580987e-28
F2RL1	1005.5850341682	-0.897193256261899	0.0795225307848642	1.01566436441096e-30	3.10215760871168e-28
LOC550643	870.077736092701	-0.913448148646358	0.0809524755290533	1.08576903631414e-30	3.25250466897411e-28
ATF3	4277.27376849375	0.631970995177306	0.0563383359800981	3.70535201935967e-30	1.08902393218048e-27
PPP1R15A	4620.86166070508	0.727497976238213	0.0668192072408534	1.24737051202987e-28	3.59820193812765e-26
SLC35A5	1311.09073605375	-0.764692186920727	0.0704524937124252	1.42452714249695e-28	4.03451987248636e-26
SEC61A2	895.906001503779	-0.833292233716299	0.0768838522161749	1.6211777085327e-28	4.50947949389533e-26
EIF3B	7065.04016791514	-0.527023586406311	0.0486064304476127	2.20945004201945e-28	6.03800057974332e-26
MLLT11	1472.36656305989	-0.74219719562214	0.06871157062	2.42827033185443e-28	6.52158051022353e-26
SEPT8	4261.78968036774	-0.604103798419427	0.0559543558040965	3.40724313833247e-28	8.99569938403474e-26
STMN1	11928.9113538891	-0.482405221088911	0.0452755456822391	1.78055244506235e-27	4.62261090612271e-25
HADH	1488.43944435607	-0.70040552171168	0.0665394689882341	5.15766949438024e-27	1.3170658641633e-24
HIST1H2BD	558.21163037165	1.24198179287691	0.118229489143531	6.93144051288134e-27	1.74146853014762e-24
TGOLN2	3760.9685551454	0.598519108377855	0.0570599233434838	1.07042478349569e-26	2.64666775436703e-24
SEH1L	1409.01823817554	-0.746077104063638	0.0715966237665667	1.45501631888691e-26	3.54137331239084e-24
PRKAR1A	6793.23234555918	-0.501347136801371	0.0478930499803933	1.49484441299568e-26	3.58233714172827e-24
PIP5K1A	4093.56827010186	-0.547381357185067	0.0524530450010692	1.78069975936508e-26	4.20272123509543e-24
MBNL1	2821.94372890797	0.690097747497075	0.0662361756489981	2.14334147376122e-26	4.9831089756386e-24
HEG1	1165.17850623063	0.757831139819746	0.0734145655518205	4.63948706096032e-26	1.0627836757144e-23
TMED2	5252.359892893	-0.602079639511989	0.0584245699954517	5.92295039495527e-26	1.33712751162635e-23
DNAH17	851.847448076287	1.12119210147003	0.109222739141485	7.03551879797644e-26	1.56560394737256e-23
IDS	2825.61958126317	-0.612840992740643	0.0598938990788306	1.28374938435549e-25	2.81647382536698e-23
G3BP1	5325.21430621426	-0.584965491316912	0.0574362037054156	1.95423417606391e-25	4.2279313556316e-23
CSRNP1	793.884246769551	0.842060454261662	0.0827849152451475	2.03454150748261e-25	4.34137713178858e-23
BSPRY	171.178135200253	-1.87426792134441	0.184533548180522	2.14756348419867e-25	4.5206211342382e-23
TFCP2L1	972.983563564495	-0.850613208168317	0.0843305475018016	3.64735065010667e-25	7.57530414356154e-23
DPYSL2	913.246374333868	-0.787524050977135	0.0779885374762727	4.47593554649121e-25	9.17390105364389e-23
AMMECR1	1540.84050771234	-0.801249966498353	0.0799836149176278	9.3291470847329e-25	1.88727433946603e-22
PLS3	41947.242366223	-0.473889750093952	0.0471482364569063	1.2028792996322e-24	2.40221164748344e-22
TXNIP	5133.7485819313	0.78050425826323	0.0781085481457405	1.51413754282732e-24	2.98553424109129e-22
FAM213A	564.235329898051	-1.02557071568794	0.103345257190148	1.72163331068785e-24	3.35223526007307e-22
BEND4	1159.10530668342	-0.899480237242719	0.0911044537871492	2.96762306923913e-24	5.6373981157973e-22
PRKCA	2123.05635637117	-0.609552275482351	0.0613900023703673	2.96500928990557e-24	5.6373981157973e-22
P4HB	9450.61260359099	0.48155771316554	0.0485058626411447	4.46533898342043e-24	8.38031148731808e-22
HIST1H4H	214.39406825816	1.60017197731484	0.162150776530611	4.53387500054999e-24	8.40763939090086e-22
JKAMP	819.166251604642	-0.836955778036677	0.0848639730005767	4.62174855100836e-24	8.46976202106555e-22
