gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
APLP2	8392.249966235	1.19583623367026	0.0561103731008671	8.73415470325632e-102	1.36051927812624e-97
NID1	6124.72590565152	1.10310443163345	0.0555335233374	4.42499716274013e-89	3.44640904020015e-85
LAMC1	5683.46708801965	1.16603378256457	0.0660921360190761	7.74193948754596e-71	4.01987304658345e-67
MAT2B	2195.38649042855	-1.10940813782542	0.0651247291436406	2.95636181626277e-66	1.15128120029813e-62
CDKN1A	2752.3933381421	1.15977941607308	0.069167650403722	3.17368124048423e-64	9.88728653660458e-61
ZFP36L1	1577.70646783558	1.1121644943114	0.0683834509706175	1.39628080701737e-60	3.10712373298708e-57
TMCO1	1718.75785610096	1.02340219961146	0.0673801310797132	3.17243952915296e-53	5.49078783840174e-50
DHRS2	539.251174421826	1.68233645728761	0.114945711645975	1.46166295342861e-49	1.89736031879645e-46
FOSB	638.362878285845	1.39812023882951	0.0975502496119151	9.32822648661981e-48	1.11773679986213e-44
RAP1A	1268.976643139	-1.0138238435612	0.0770511664159486	1.06484148360669e-40	7.53956172279155e-38
WASF3	1229.64323505082	-1.00794908208304	0.0780238898402372	2.26450289159669e-39	1.30645042749636e-36
ACTA2	267.836105952352	1.6195582148458	0.128584727994041	1.40801119364771e-37	7.83306798694654e-35
TRIM2	1425.47657786478	-1.02416060487539	0.0836128123476486	8.19327489669277e-36	4.11698848599301e-33
RPS27L	668.268507121135	1.04075326059791	0.0858370606591921	5.94433611028055e-35	2.8059067754497e-32
FAM117B	887.75386839544	-1.01157585865925	0.0848204272756334	4.94350130603883e-34	2.02644525905702e-31
DIXDC1	710.772019314589	-1.05387820336387	0.0929758459840593	4.52359608929716e-31	1.48993993973481e-28
SEPT3	583.379658201558	-1.21802412577175	0.107910874666792	7.00523058311959e-31	2.22694850598477e-28
HIST1H2BD	558.21163037165	1.24198179287691	0.118229489143531	6.93144051288134e-27	1.74146853014762e-24
DNAH17	851.847448076287	1.12119210147003	0.109222739141485	7.03551879797644e-26	1.56560394737256e-23
BSPRY	171.178135200253	-1.87426792134441	0.184533548180522	2.14756348419867e-25	4.5206211342382e-23
FAM213A	564.235329898051	-1.02557071568794	0.103345257190148	1.72163331068785e-24	3.35223526007307e-22
HIST1H4H	214.39406825816	1.60017197731484	0.162150776530611	4.53387500054999e-24	8.40763939090086e-22
EBF2	295.948208683979	-1.17725835680944	0.129097921389237	4.50479672443176e-21	5.99754004927124e-19
ANXA3	281.481342515195	-1.09416941228846	0.130215098211873	2.59019991149833e-18	2.50605863487016e-16
CPLX1	138.736597064946	1.43658896083426	0.175499221643087	1.67573615892372e-17	1.4582649244444e-15
GRAMD1C	382.385241708615	-1.00489221354047	0.123771188708847	2.61672332173443e-17	2.2152553903618e-15
HTRA1	242.742389396271	1.10889070976054	0.137939733526162	5.91283459404655e-17	4.8732393900245e-15
EMILIN2	259.887714136732	1.00381432158262	0.125810117288434	1.05866816488455e-16	8.28687135899832e-15
IRF6	242.206055689204	-1.20071032633913	0.151657719451699	1.46620527818991e-16	1.1195627263904e-14
FUT1	252.338760351509	-1.25837303651834	0.160203585254836	1.99598674510196e-16	1.50200413180934e-14
CPT1C	220.068842922816	-1.18757385469164	0.153772661331278	7.04907404341392e-16	4.88015228330039e-14
DNAH3	95.0672019233407	1.6423383720579	0.222851182217247	1.14790577660012e-14	6.9575596428405e-13
DUSP4	243.774218335595	-1.0284135832394	0.13985157584946	1.2122665103226e-14	7.29091715494018e-13
VGF	99.2070930584603	1.52409773332369	0.209319743461659	2.32329841354989e-14	1.35543143774782e-12
ACVRL1	81.1402152699527	-1.84699472290603	0.25448317596657	2.42863273358906e-14	1.41159746608645e-12
ACOXL	92.1215367655233	-1.6424221593944	0.229023084657475	4.34124027809759e-14	2.42378135526617e-12
ETV7	48.668040573821	2.06018986086286	0.286694609568911	4.64802194121688e-14	2.57659209175571e-12
HIST1H2AC	197.483957390893	1.24353273815942	0.173678977963862	6.16864566302807e-14	3.39537079480524e-12
SPTBN4	202.815320650442	-1.13576612352069	0.160278355144388	6.57288119333895e-14	3.56744844420351e-12
SLC4A5	169.863589942346	1.16268527542762	0.163110786807753	6.65358283829532e-14	3.59320873717717e-12
ANKRD1	121.186955748185	1.38143949622901	0.195058873541543	9.85259793789164e-14	5.17954668348115e-12
STYK1	77.5896726852013	-1.82898112183692	0.26495162394557	3.56094452699805e-13	1.68598276282822e-11
C10orf82	152.548878825859	-1.21729476972294	0.178224615134986	5.35373803302541e-13	2.43845547779055e-11
MTMR7	154.707028612253	-1.20895001076349	0.179858491828954	9.29295020346809e-13	4.10074462661254e-11
ACRC	103.036852367383	1.29731384306471	0.199145009984322	4.71786394128113e-12	1.85113769806892e-10
HIST2H2BF	204.649719095167	1.04187634620766	0.159670002707563	5.05908583722156e-12	1.97507218261655e-10
PACSIN1	164.614832844782	-1.18492222873335	0.1841492530914	6.58022833920057e-12	2.50611777114248e-10
SLC2A3	2891.27664047779	-1.07184709816902	0.168114827049047	9.30227267380704e-12	3.44184088930861e-10
KLC3	199.84121827049	-1.00151867558257	0.160351973048536	2.42598713217337e-11	8.36053131811164e-10
ABCG1	111.541849399807	-1.33799491980902	0.216380911424509	3.98495502704341e-11	1.32071583949479e-09
RAB26	137.183263519397	-1.20517316100005	0.206267712704785	2.45263166833194e-10	7.22204981051164e-09
SNAI2	131.71446374229	1.05256487316702	0.179364478402984	2.93409909193244e-10	8.45654032314814e-09
STAC2	110.261251521312	-1.19742603419639	0.205545091744686	3.54664224539506e-10	1.00083417131375e-08
C5orf27	28.372248993623	2.23180647302015	0.382733755309381	3.57460242145428e-10	1.00508270611901e-08
MPZL2	127.945312644588	-1.16437437075596	0.201530133261112	3.90300750115811e-10	1.07605571408035e-08
C1orf106	94.5987701304652	-1.30182450182564	0.225295261476324	4.09817312618149e-10	1.12191990837485e-08
NRXN1	54.8549039361133	-1.59223495153117	0.28374835723618	1.08384159979286e-09	2.78138395386712e-08
LOC284344	95.3521803121794	1.2174919650174	0.218047330045719	1.54654120269683e-09	3.85447557030535e-08
LOC643201	70.2157944606424	1.31686535628942	0.236726146451379	1.73088024787281e-09	4.27967009858965e-08
IGFBPL1	119.343304807422	-1.08375170728977	0.196464117769155	1.93170501304239e-09	4.73860928947421e-08
LINC00087	125.981583667628	-1.17401648540191	0.215980187831744	2.66702470145813e-09	6.37181652984865e-08
ERV3-1	126.503178223996	-1.01046890508015	0.196851823538687	1.53637839279859e-08	3.14070422895322e-07
ZDHHC11	103.762593135517	1.06947016696768	0.209937917946615	2.15435867570357e-08	4.29136126488932e-07
SLC4A8	95.7545200828644	-1.12971193228142	0.227612614786306	3.57949371794748e-08	6.79972849322779e-07
LOC90246	71.020609288937	1.17330669387383	0.235499811260334	3.72659853263523e-08	7.05336881444216e-07
SLC2A14	94.7602099062128	-1.13342613888973	0.230253525067505	4.22530912482648e-08	7.85413367988331e-07
C16orf45	104.46741110534	-1.00476719244592	0.203308816992448	4.62871503881432e-08	8.51609791403334e-07
KIAA0319	61.1838696638874	-1.32891999152545	0.270565332304313	4.74612092495e-08	8.69768537034661e-07
PHACTR1	40.732848772307	-1.85531596872903	0.375604405629156	4.7674042669532e-08	8.72642259298824e-07
TCF24	126.087416878122	-1.03553692491583	0.210329062366131	5.05150161032933e-08	9.19243464767522e-07
GRIK3	42.6276742867211	1.52848383137246	0.312683436411177	5.61902576390142e-08	1.00490889006076e-06
LOC339166	19.5379443914218	2.26664831993035	0.463871650149885	6.65624155192703e-08	1.16893207051147e-06
LOC100506688	61.6886204482016	-1.36550362384175	0.281767052068681	6.69804653185502e-08	1.17438532697599e-06
MAP6	76.9825787778949	-1.26949200213936	0.266480194268736	8.36987698634209e-08	1.42957866026591e-06
FOSL1	82.3518525908078	1.12028482543831	0.232775836594633	8.7521053147747e-08	1.48186461400267e-06
CRIP3	77.5469362920534	-1.36015479676571	0.2892812714179	1.02413018116116e-07	1.71168195621753e-06
FRK	60.8041252442022	-1.39829933273842	0.295010819270231	1.28425536436928e-07	2.09914436629385e-06
MEI1	25.0063465557699	-2.22781996333608	0.471217360500838	1.54263472535069e-07	2.47983706055601e-06
CHGB	84.8969118102738	1.0528327477103	0.224929148026163	1.70445950803968e-07	2.72032436032111e-06
AIM1	108.501733353365	-1.07524437339861	0.231361798631178	1.9020345433273e-07	3.00791797780805e-06
MAP2	120.020130702407	-1.0219454431799	0.223782667698355	2.4131104790872e-07	3.74765921562724e-06
HIST2H2BC	61.575316248994	1.22056677040286	0.266185660103916	2.72634745587249e-07	4.16356022746331e-06
SFN	57.9537371890461	-1.31406650789742	0.294723099106778	4.60992044112624e-07	6.60006716097642e-06
KSR2	79.059914747963	-1.01499608333977	0.235982084770125	9.16511171955599e-07	1.22545017386716e-05
ATP5E	79.1604081630275	-1.22677251828597	0.288214988692126	1.05610273915062e-06	1.38709210520651e-05
COL4A3	60.1437415673488	-1.25936427283826	0.296595196975035	1.14377363780547e-06	1.47610289611399e-05
IFITM10	68.8478438985459	1.03377617867338	0.241814864030604	1.14326187084454e-06	1.47610289611399e-05
