gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
MOV10	21681.7997982992	5.07963026197818	0.110114496617854	0	0
H1F0	7881.08111087538	1.55178674591889	0.0565776590032354	3.00466714814004e-166	2.34018500832887e-162
HIST1H1C	1741.38295039648	1.52331523091587	0.07060899625023	2.05885722324179e-104	1.06902729888125e-100
TXNIP	5133.7485819313	1.41938136664527	0.0696576272664259	1.62427903799981e-93	6.32534864373074e-90
KLF10	1694.21092469274	1.23321139491615	0.0651895578236121	4.76764141781884e-81	1.23775917275607e-77
INSIG1	11872.5106252916	1.25236991253551	0.0698893306711743	4.54965535204577e-73	1.0124283059831e-69
NR1D1	969.911898302453	1.58513198415637	0.0921414108199943	1.71606430933175e-67	3.34139171830759e-64
WDFY1	1422.73609085685	1.0819535914571	0.0642790663557184	8.85934047241666e-65	1.5333549615426e-61
HSPA6	168.252173523405	6.24626705351999	0.379261673618056	1.04249518086958e-60	1.47626794840049e-57
ADAMTS1	9567.07025319139	1.02841145790675	0.0690201614450213	2.81007525453499e-51	2.73578388999322e-48
MRC2	436.686318383262	1.58981004286552	0.108633552631503	1.11827426927102e-49	9.67742127357487e-47
ZNF184	764.115693253902	1.11560572264365	0.076728348810352	4.74549977602557e-49	3.69603250055752e-46
C1orf95	219.673745481546	1.94508077230605	0.134357123716546	1.04748546141487e-48	7.769848110695e-46
ARRDC3	1996.72264555492	1.07346419894967	0.0747197442590304	5.2920830326038e-48	3.74703533631224e-45
HIST1H2BD	558.21163037165	1.52434685575395	0.107526885079704	9.01972763133994e-47	5.85417905472426e-44
FCGRT	580.629055157727	1.26984260824682	0.0923862653578244	3.34450084160799e-44	1.8606174860617e-41
PLK2	1219.22439769335	1.04362547296355	0.0781385768348947	7.63906326986975e-42	3.60586935014427e-39
C11orf96	959.961336276994	1.19562139408953	0.0928722081328816	3.70805787821373e-39	1.56109236672798e-36
CRABP2	1076.1525105273	1.01772042146639	0.0848505630817342	2.47401714743894e-34	8.19952449056519e-32
SLFN5	339.241634532502	1.24256707513866	0.105782072164637	4.88963296522307e-33	1.46472716729384e-30
EGFR	473.602809513985	1.08762256992551	0.0988564340086894	2.33527802354018e-29	5.12346841868808e-27
C10orf10	335.822307880989	1.14144001966458	0.106688919573439	6.32913013176524e-28	1.1332052880748e-25
HIST2H2BE	805.86137009858	1.02207366457889	0.0970942828760205	5.17132369901792e-27	8.56954353825555e-25
LPPR3	162.361839170674	1.78415196548339	0.171588848761576	1.59066717532025e-26	2.45324976138253e-24
ERAP2	418.986786223063	1.12263543352157	0.108771848840542	3.5483383086838e-26	5.31466017638149e-24
INHBE	151.415056115686	1.76769818110399	0.177099503202937	9.92742382177779e-25	1.33309897303304e-22
ZNF467	228.548518278366	1.36213469531335	0.136356448123566	1.07093188047306e-24	1.41372083916347e-22
COL6A2	431.468889121692	1.05148081658409	0.10586210679968	2.03988884427142e-24	2.58336166887934e-22
HSPG2	452.832479744406	1.01937364453365	0.103236955341371	3.83578103655241e-24	4.59615086202899e-22
COL5A1	247.23675740233	1.15508224352267	0.125427417374608	2.42005277718704e-21	2.23060130829838e-19
HTRA1	242.742389396271	1.16342463090211	0.127632036502152	5.19187111336759e-21	4.62135864759583e-19
ACHE	88.3289273993494	1.89648561332545	0.212673426986405	3.11370579874855e-20	2.5001131560364e-18
DCHS1	157.08657066648	1.36661347906271	0.153773483332437	4.17415819261083e-20	3.23486876449248e-18
EBF4	195.851070258298	1.24306272816551	0.143259651656109	2.49477356061688e-19	1.75842026034974e-17
MDK	1773.04112393206	1.31869841473614	0.155964965642986	1.69892303449753e-18	1.06710177856322e-16
GDNF	139.812819286073	1.32985089431181	0.157499624844651	2.08097578177364e-18	1.28632379970984e-16
SNAP25	72.4732561297492	1.9859877933359	0.238361584518378	4.85505072901182e-18	2.82190765693347e-16
LOC284344	95.3521803121794	-2.31064016418945	0.275413943653566	5.23423843816884e-18	3.01976785745763e-16
SLIT3	133.755936497934	1.40776158979521	0.172221519483733	2.01424216948668e-17	1.05999494169236e-15
KCNAB2	233.423109352259	1.05916402220938	0.130742410296401	3.69634065945345e-17	1.89400981751008e-15
