ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa04060	Cytokine-cytokine receptor interaction	234	0.583214032698788	1.95805121664068	1.16815613962758e-09	3.83155213797847e-07	3.20935528887157e-07	2647	tags=24%, list=16%, signal=21%	6364/83729/3589/115650/9518/3604/6387/85480/9235/130399/3554/970/2826/9180/3624/1271/3592/355/3625/151449/51330/3953/1435/60401/8744/27242/7048/9466/1489/8809/7040/8743/3570/3566/3588/2661/8795/652/651/3601/3976/1896/8793/2690/6372/51561/2057/4803/55540/7124/3459/84818/768211/7852/1524/3977/3590
hsa04512	ECM-receptor interaction	86	0.697740985396554	2.1317922064774	3.36916143903895e-08	5.52542476002388e-06	4.62816387152193e-06	1908	tags=42%, list=11%, signal=37%	22801/1292/3339/960/3915/1280/375790/8516/3678/284217/3912/255743/7059/3680/3676/3691/1286/3655/3911/341640/10319/3675/6385/3913/3161/3910/1288/3672/3688/3679/6382/3696/2335/3371/3909/1282
hsa03082	ATP-dependent chromatin remodeling	86	-0.583430110094678	-2.02070840089271	4.00839249405511e-06	0.000438250912683358	0.000367084365245047	4418	tags=65%, list=26%, signal=48%	8289/93973/54107/10933/6603/7528/11177/6604/5928/8089/6944/8467/8099/57459/80314/64769/54617/8295/283899/6605/10856/6760/29117/5977/71/8193/196528/10467/10847/54108/6602/1108/9031/605/86/10263/10445/26122/9219/55929/8607/6597/55193/4798/84295/79913/10524/3065/53615/6599/9275/54815/57492/9274/6598/60
hsa05014	Amyotrophic lateral sclerosis	319	-0.39805770140728	-1.63881623186791	1.1396261284547e-05	0.00093449342533285	0.000782743209280725	3783	tags=41%, list=23%, signal=32%	9377/1537/5689/10671/55746/3799/4717/5682/4694/5684/10376/51807/5718/1329/4715/57122/6396/5685/8408/9688/4729/4713/5714/311/11258/4716/5683/4696/842/6647/5606/55860/6391/1350/4706/1639/126328/100101267/2876/5691/4927/56893/1616/7416/220988/10975/55967/643246/836/54539/4718/2475/9776/8480/5701/9861/5704/4728/5705/8021/55916/71/4725/10121/5692/79139/5715/4714/7846/5608/637/4928/10383/9217/81929/9782/9883/5534/79902/10482/1340/203068/7186/5693/64837/5694/29110/84790/140775/4686/5216/51164/572/5695/4722/4702/4720/10762/4218/5690/5707/5709/5702/23511/84516/7415/3798/26100/116442/4726/84134/3084/22863/5532/598/5717/10189/2521/25981/5688/5708/4708/4747/2733/581/11047/60/2878/10452/55567/56000
hsa05016	Huntington disease	270	-0.410563526037226	-1.67026209158621	1.77027508607615e-05	0.00116130045646596	0.000972719573612372	3783	tags=43%, list=23%, signal=34%	9377/1537/5689/10671/5432/3799/4717/5682/6908/4694/5609/6507/5684/10376/51807/160/4294/5718/25942/5433/1329/4715/5685/8408/4729/4713/5714/11258/4716/5683/4696/842/5437/6647/55860/7019/6391/1350/4706/1639/126328/2876/5691/5430/4899/7416/10975/55967/3064/836/1211/54539/4718/6874/2475/9776/1173/5701/9861/5704/161/4728/5705/246721/4725/10121/5692/5715/4714/7846/10383/2776/1340/203068/7186/5431/5693/64837/10488/5694/84790/7419/51164/5695/4722/4702/4720/10105/5438/5690/5707/5709/5702/84516/1175/3798/26100/163/4726/5436/22863/5717/5439/3065/25981/5688/5708/4708/5434/581/5441/11047/2878/5435/55567
hsa04151	PI3K-Akt signaling pathway	327	0.456656641015443	1.57078395818919	5.38252902865275e-05	0.00294244920233017	0.00246463171311994	2452	tags=28%, list=15%, signal=24%	22801/2668/5105/1956/4902/1292/90993/3915/5228/1280/8516/1026/8074/3678/284217/54541/3718/3912/1942/64764/2065/7059/9863/9180/3680/3676/595/10161/5156/2247/4602/1943/4609/3691/1286/3655/1435/3911/2786/9586/5293/5106/2792/2250/10319/3675/3913/3570/23533/3566/3910/1288/26291/1147/3672/7424/5154/5879/3688/56034/3679/2149/3696/3815/3643/6198/2690/2335/3371/3909/1950/1282/2057/29941/5894/4803/2323/23566/5563/5523/7060/1287/7184/3693/118788/55970/1969/9965/3667/4908
hsa04518	Integrin signaling	152	0.539279085709842	1.75118305454844	7.05752069890138e-05	0.00330695255605665	0.00276994421415528	3612	tags=43%, list=21%, signal=34%	22801/1956/1292/3915/5228/1280/8516/3386/3678/284217/3912/255743/7059/3680/3676/595/5156/3691/1286/3655/3911/999/9459/341640/5293/10319/3675/7040/3913/3910/1288/3672/7424/5154/5879/3688/56034/3679/3696/2335/3371/3909/1950/1282/1499/7060/1287/3693/158326/3683/80144/3082/7414/1285/2321/1284/2064/894/7422/3690/1291/3611/1311/1299/83660/55679
hsa03015	mRNA surveillance pathway	89	-0.542581528832073	-1.89238175553338	8.96502176852908e-05	0.00367565892509692	0.00307877721261328	2598	tags=43%, list=15%, signal=36%	53981/8189/22985/10978/80335/5515/10914/8761/80336/9775/55916/1479/26528/22794/26986/5042/10482/8106/4686/124540/1478/55308/29101/23381/56903/55339/5518/5528/55844/9887/5499/10189/2521/79869/2733/23293/9939/56000
hsa03050	Proteasome	44	-0.644814983875207	-1.98879585535021	0.000100864783891525	0.00367596101293559	0.00307903024510972	3773	tags=64%, list=22%, signal=49%	5689/5682/5684/5718/5685/5714/5683/5691/5701/9861/5704/5705/9491/5692/5715/5693/5694/5695/5690/5707/5709/5702/5717/10197/5688/5708/11047/5699
hsa03013	Nucleocytoplasmic transport	101	-0.503403804059248	-1.81359211352723	0.000207529780554204	0.00680697680217787	0.00570160765522601	3908	tags=60%, list=23%, signal=47%	4116/5903/7514/55705/55746/5976/10921/10527/51808/57122/6396/9688/30000/1915/55161/51194/5901/3836/22985/23534/100101267/10526/1434/79228/9984/4927/3842/59343/8480/9775/6612/80145/8021/55916/3843/64328/22794/3837/9670/4928/7329/81929/23214/9883/23633/79902/10482/10073/4686/5905/3838/10762/55308/23511/79711/23039/57510/10189/2733/9939/56000
