gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
APLP2	8392.249966235	1.18645955180049	0.0557530348433809	8.73429008393269e-102	1.3605403663742e-97
NID1	6124.72590565152	1.096784957584	0.0551939879664568	4.42506077597526e-89	3.44645858536833e-85
LAMC1	5683.46708801965	1.15480666861893	0.0654997755896656	7.74204736499354e-71	4.01992906015015e-67
MAT2B	2195.38649042855	-1.09946678475949	0.0645634249144636	2.95632789402932e-66	1.15126799013237e-62
CDKN1A	2752.3933381421	1.14738201027445	0.0685077158595122	3.17372201434039e-64	9.88741356347606e-61
CTNNB1	11003.5498447108	0.852687353211098	0.0517494814977183	1.59812492127096e-62	4.14899864977295e-59
ZFP36L1	1577.70646783558	1.10105993014472	0.0677746552960668	1.39629649663443e-60	3.10715864686779e-57
COL2A1	3444.44875424512	0.95458553090572	0.0623937871064496	3.68152398000649e-54	7.16838737957013e-51
TMCO1	1718.75785610096	1.01434395918118	0.0668706645779084	3.17247254837998e-53	5.49084498734611e-50
AKT3	3308.65194469616	-0.97137100908739	0.0645103966222469	1.54361062874422e-52	2.40448227639487e-49
NUCKS1	23622.5901572346	-0.77564429254744	0.0519663949010156	4.25133117156884e-52	6.02027142359344e-49
DHRS2	539.251174421826	1.62580175648983	0.113869381783816	1.46168858216115e-49	1.89739358702702e-46
FOSB	638.362878285845	1.3649245673535	0.095888590275096	9.32837422021982e-48	1.11775450175665e-44
WDFY1	1422.73609085685	0.981393753230966	0.0698409684078928	3.7798506227184e-46	4.20562379643461e-43
TMEM194A	3819.93008005791	-0.860530214935523	0.0623049030689803	6.47679090692717e-45	6.72593146381364e-42
MAPKAP1	2178.22292499371	-0.834741871938905	0.0620522602930755	7.67961899926089e-43	7.47658907196793e-40
KLF10	1694.21092469274	0.963750030058942	0.0714660955459094	8.95736824917166e-43	8.20758383631453e-40
LAMP2	2645.5026965304	0.975015385839751	0.0725672947350518	1.80664574611401e-42	1.56345115484544e-39
DLG3	4543.65763909371	-0.725451685775792	0.0551133422367716	2.12124627638253e-41	1.73908701301108e-38
PNMAL1	1734.65465002028	-0.840626716156409	0.0638781214232814	3.94193500307567e-41	3.07017607714549e-38
LPGAT1	2733.26058793651	-0.895473998433184	0.0681232850018077	6.39962797694739e-41	4.74700023794807e-38
RAP1A	1268.976643139	-1.00207592154999	0.0762894359327773	1.06483111102921e-40	7.53948828022819e-38
KIF1C	2535.63852846747	-0.807035743105412	0.0619318940397021	1.78358042678225e-40	1.20794923078205e-37
EIF2S1	4042.13945168762	-0.893640523144462	0.0690107974233561	8.21645855748996e-40	5.33282395625088e-37
KIAA1462	997.245360748972	-0.986118295258472	0.0761111062122638	1.0665544801499e-39	6.64548765491797e-37
AMOT	24418.1290244355	-0.617549946867106	0.0481287021136108	1.37402723889408e-39	8.23200857702044e-37
WASF3	1229.64323505082	-0.996075858901376	0.0772146653497354	2.26447953185689e-39	1.30643695065685e-36
ACTA2	267.836105952352	1.55188005431746	0.126113829492686	1.40803025330166e-37	7.83317401988571e-35
PRKAR2B	977.626496545649	-0.9846024035816	0.0790455640514651	6.23880313886581e-37	3.35109781014182e-34
FYCO1	1660.32927912442	0.896684695275259	0.0722751419370243	8.32327592740771e-37	4.321722304041e-34
TRIM2	1425.47657786478	-1.0104241682084	0.0824640097115012	8.19319181300244e-36	4.11694673777868e-33
PPT1	3590.42704409861	0.658648973508121	0.0543646846377505	1.08773491134147e-35	5.29488959811438e-33
RPS27L	668.268507121135	1.02536840891992	0.0847936308558776	5.94439319298218e-35	2.80593372021465e-32
EPB41L5	1362.89891704048	-0.930752676302432	0.0773299506117222	9.0905403207623e-35	4.16480431107395e-32
ANKRD52	4097.52744412693	0.727757913357647	0.0609956208391876	1.19460879471708e-34	5.31669177008797e-32
SOX11	10943.5777325019	-0.709652547369749	0.0598220261113316	2.54907699760011e-34	1.10297145532269e-31
NOLC1	7056.71775112851	-0.591816461940458	0.0499298432684983	2.73751178508876e-34	1.15249246152237e-31
FAM117B	887.75386839544	-0.997488675008863	0.0837344139270625	4.9434543262822e-34	2.02642600106573e-31
CCND2	2962.02378000039	-0.764810202289834	0.0647755505706812	6.16879096383457e-34	2.46387838060644e-31
TNFRSF10B	4115.69763125104	0.66810857683039	0.056872555387144	9.11624703857908e-34	3.55009450299866e-31
NUP210	6157.52179639125	0.672747201283065	0.0572867065097373	9.61754063852222e-34	3.6539617201527e-31
HIF1A	4013.90716857252	0.618458614443864	0.0527303646833311	1.13395902386247e-33	4.20563802731089e-31
TTPAL	1053.19247330771	0.895002863920979	0.0764993468708913	4.28410949748213e-33	1.55194357307626e-30
CBX3	6078.0792287351	-0.683642124478867	0.0592583455557619	1.10730297074036e-32	3.92010417618696e-30
EGR1	2275.17422063908	0.919676568244926	0.0802607936836225	7.86213520271225e-32	2.72152177894775e-29
POLR2D	2314.14421625006	-0.667964211197633	0.0594134997743487	3.14144112447013e-31	1.06378757382329e-28
DIXDC1	710.772019314589	-1.03623148774176	0.0914363144323232	4.52355312535719e-31	1.4899271349223e-28
PDIK1L	1156.77530008077	-0.848440710158091	0.075256324019609	4.59116020262375e-31	1.4899271349223e-28
SEPT3	583.379658201558	-1.18601380375438	0.105165974372088	7.00515931577318e-31	2.22692585024079e-28
SQSTM1	3947.4648428651	0.797016877376496	0.0712198397991547	8.96919501870634e-31	2.79426301612777e-28
F2RL1	1005.5850341682	-0.886653714642632	0.0790194460620399	1.01565582382372e-30	3.10213152307883e-28
LOC550643	870.077736092701	-0.902314161508338	0.0804111584122198	1.08575975458352e-30	3.25247686483606e-28
ATF3	4277.27376849375	0.625494798844771	0.0567505552450964	3.70537942984036e-30	1.08903198827591e-27
PPP1R15A	4620.86166070508	0.720020899356818	0.0672130733870951	1.24738147763131e-28	3.59823356982648e-26
SLC35A5	1311.09073605375	-0.756830925620659	0.0706429803834997	1.42451594875089e-28	4.0344881697623e-26
SEC61A2	895.906001503779	-0.823832852847415	0.076765886485535	1.62116344911443e-28	4.50943982979562e-26
EIF3B	7065.04016791514	-0.521924890375891	0.0488510243272983	2.20943487170843e-28	6.03795912221093e-26
MLLT11	1472.36656305989	-0.734550920439869	0.0689369408365275	2.42825245102753e-28	6.52153248787169e-26
SEPT8	4261.78968036774	-0.597339188175162	0.0562909319021687	3.40721854424133e-28	8.99563445146563e-26
STMN1	11928.9113538891	-0.477954627813102	0.0454369561915538	1.78054054810016e-27	4.62258001962603e-25
HADH	1488.43944435607	-0.692941807465522	0.0669214320563953	5.15763274566653e-27	1.31705647998766e-24
HIST1H2BD	558.21163037165	1.20206847439509	0.115287676481311	6.93150817622861e-27	1.74148553001795e-24
TGOLN2	3760.9685551454	0.591688765073929	0.0575236351287292	1.07043272830982e-26	2.64668739823525e-24
SEH1L	1409.01823817554	-0.737875793036569	0.0718613766335778	1.45500494783438e-26	3.54134563631501e-24
PRKAR1A	6793.23234555918	-0.495610492842278	0.0481022074891378	1.49483478454572e-26	3.58231406751826e-24
PIP5K1A	4093.56827010186	-0.541184391934716	0.0527599957197051	1.78068804393158e-26	4.2026935848973e-24
MBNL1	2821.94372890797	0.68165449672828	0.06673104013648	2.14335793009515e-26	4.98314723538688e-24
HEG1	1165.17850623063	0.749030163951417	0.0737265914390986	4.63952275441373e-26	1.06279185213975e-23
TMED2	5252.359892893	-0.595264108423429	0.0588270015759515	5.92290608937129e-26	1.33711750948024e-23
DNAH17	851.847448076287	1.09296910178366	0.106868679044836	7.0355953531059e-26	1.56562098307615e-23
IDS	2825.61958126317	-0.605598579713157	0.0603159107495957	1.28373990130958e-25	2.8164530200985e-23
G3BP1	5325.21430621426	-0.578875975795178	0.0578506366782161	1.95421991966445e-25	4.22790051230738e-23
CSRNP1	793.884246769551	0.830967749756347	0.0826662756067698	2.0345577966691e-25	4.34141189023486e-23
BSPRY	171.178135200253	-1.72945667587134	0.185241260052904	2.14753731741844e-25	4.52056605316582e-23
TFCP2L1	972.983563564495	-0.83943500738776	0.0839575014282598	3.64732227241451e-25	7.57524520498677e-23
DPYSL2	913.246374333868	-0.777746099500329	0.0781816660305635	4.4758999152373e-25	9.17382802363834e-23
AMMECR1	1540.84050771234	-0.791213062345399	0.0800772653607947	9.32906736136533e-25	1.88725821153231e-22
PLS3	41947.242366223	-0.468070163382736	0.047306656588261	1.20287034666607e-24	2.40219376795094e-22
TXNIP	5133.7485819313	0.770251492928041	0.0784206766079225	1.51415054883187e-24	2.98555988596886e-22
FAM213A	564.235329898051	-1.00410801691359	0.101372085614608	1.72161780587614e-24	3.35220507026658e-22
BEND4	1159.10530668342	-0.885799460786187	0.0902960210454866	2.96759759786534e-24	5.63734972950591e-22
PRKCA	2123.05635637117	-0.601860366220362	0.0618775163870304	2.96498915977539e-24	5.63734972950591e-22
P4HB	9450.61260359099	0.475461174760871	0.0487354184881795	4.46536892125647e-24	8.38036767306168e-22
HIST1H4H	214.39406825816	1.49657409628615	0.157086783612834	4.53393718155521e-24	8.40775469965303e-22
JKAMP	819.166251604642	-0.825518580868721	0.0847964844590698	4.62171313361819e-24	8.469697115573e-22
CLCN3	3185.55687493741	-0.568939632395434	0.0587192679901182	4.76083892284292e-24	8.62320789547955e-22
SAR1A	2727.71985650179	-0.572034356807688	0.059414665241878	8.55270592353524e-24	1.53132758817136e-21
LRP4	703.510512949107	0.846651602373006	0.0879851803031079	1.5329240610295e-23	2.71344978393824e-21
KIAA0895	1089.75992729345	-0.685798491823527	0.0723154043103286	3.09340282413523e-23	5.4141500889387e-21
