gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
APLP2	8392.249966235	1.18645955180049	0.0557530348433809	8.73429008393269e-102	1.3605403663742e-97
NID1	6124.72590565152	1.096784957584	0.0551939879664568	4.42506077597526e-89	3.44645858536833e-85
LAMC1	5683.46708801965	1.15480666861893	0.0654997755896656	7.74204736499354e-71	4.01992906015015e-67
MAT2B	2195.38649042855	-1.09946678475949	0.0645634249144636	2.95632789402932e-66	1.15126799013237e-62
CDKN1A	2752.3933381421	1.14738201027445	0.0685077158595122	3.17372201434039e-64	9.88741356347606e-61
ZFP36L1	1577.70646783558	1.10105993014472	0.0677746552960668	1.39629649663443e-60	3.10715864686779e-57
TMCO1	1718.75785610096	1.01434395918118	0.0668706645779084	3.17247254837998e-53	5.49084498734611e-50
DHRS2	539.251174421826	1.62580175648983	0.113869381783816	1.46168858216115e-49	1.89739358702702e-46
FOSB	638.362878285845	1.3649245673535	0.095888590275096	9.32837422021982e-48	1.11775450175665e-44
RAP1A	1268.976643139	-1.00207592154999	0.0762894359327773	1.06483111102921e-40	7.53948828022819e-38
ACTA2	267.836105952352	1.55188005431746	0.126113829492686	1.40803025330166e-37	7.83317401988571e-35
TRIM2	1425.47657786478	-1.0104241682084	0.0824640097115012	8.19319181300244e-36	4.11694673777868e-33
RPS27L	668.268507121135	1.02536840891992	0.0847936308558776	5.94439319298218e-35	2.80593372021465e-32
DIXDC1	710.772019314589	-1.03623148774176	0.0914363144323232	4.52355312535719e-31	1.4899271349223e-28
SEPT3	583.379658201558	-1.18601380375438	0.105165974372088	7.00515931577318e-31	2.22692585024079e-28
HIST1H2BD	558.21163037165	1.20206847439509	0.115287676481311	6.93150817622861e-27	1.74148553001795e-24
DNAH17	851.847448076287	1.09296910178366	0.106868679044836	7.0355953531059e-26	1.56562098307615e-23
BSPRY	171.178135200253	-1.72945667587134	0.185241260052904	2.14753731741844e-25	4.52056605316582e-23
FAM213A	564.235329898051	-1.00410801691359	0.101372085614608	1.72161780587614e-24	3.35220507026658e-22
HIST1H4H	214.39406825816	1.49657409628615	0.157086783612834	4.53393718155521e-24	8.40775469965303e-22
EBF2	295.948208683979	-1.13499382990599	0.12505695325792	4.50475430714286e-21	5.99748357627046e-19
ANXA3	281.481342515195	-1.05638279023547	0.126462529183256	2.59017791036099e-18	2.50603734842815e-16
CPLX1	138.736597064946	1.33310984812236	0.166742319098533	1.67575364310406e-17	1.45828013958838e-15
HTRA1	242.742389396271	1.06527540197719	0.133683397792103	5.91288229087807e-17	4.87327870079406e-15
IRF6	242.206055689204	-1.14130929370269	0.145535898361201	1.46619222608001e-16	1.1195527600808e-14
FUT1	252.338760351509	-1.18786581356068	0.152584249181772	1.99597188892064e-16	1.50199295235347e-14
CPT1C	220.068842922816	-1.12778399324874	0.147591394382494	7.04901206606125e-16	4.88010937569049e-14
DNAH3	95.0672019233407	1.45516079312569	0.210253275892866	1.14792312727264e-14	6.95766480681945e-13
VGF	99.2070930584603	1.37013121774006	0.196717312455026	2.32332531380296e-14	1.35544713157711e-12
ACVRL1	81.1402152699527	-1.5887247317784	0.24614400141215	2.42860771856701e-14	1.41158292657158e-12
ACOXL	92.1215367655233	-1.44760164947235	0.214983836561422	4.3411959865557e-14	2.4237566266157e-12
ETV7	48.668040573821	1.73043373725112	0.294574094309829	4.64809468631183e-14	2.57663241739072e-12
HIST1H2AC	197.483957390893	1.16114783909455	0.165593146649838	6.16870507476661e-14	3.39540349645369e-12
SPTBN4	202.815320650442	-1.07625830609521	0.153231010170692	6.57282206557755e-14	3.5674163524565e-12
SLC4A5	169.863589942346	1.09722740253894	0.156310321138271	6.65364794743358e-14	3.59323218557769e-12
ANKRD1	121.186955748185	1.26276055089389	0.183626126188558	9.85270198194281e-14	5.17950930866125e-12
STYK1	77.5896726852013	-1.55207812700438	0.253838913453003	3.56090820520975e-13	1.68596556573107e-11
C10orf82	152.548878825859	-1.1348685753068	0.169374903056054	5.35369407966541e-13	2.43843545844878e-11
MTMR7	154.707028612253	-1.1269646583032	0.170285706837281	9.29287096537577e-13	4.10070966084018e-11
ACRC	103.036852367383	1.18540707566738	0.187196811219037	4.71791212425792e-12	1.85115660351551e-10
PACSIN1	164.614832844782	-1.10171113450374	0.174496242282136	6.58016890343491e-12	2.50609513468962e-10
SLC2A3	2891.27664047779	-1.01183444790936	0.161598899700472	9.30215566946054e-12	3.4417975977004e-10
ABCG1	111.541849399807	-1.20249443592846	0.201850156502268	3.9849250654749e-11	1.32070590946601e-09
RAB26	137.183263519397	-1.10041586114037	0.193567681632115	2.45261400913133e-10	7.22199781100922e-09
STAC2	110.261251521312	-1.09168960082807	0.194298972553162	3.54661459543691e-10	1.00082636871595e-08
C5orf27	28.372248993623	1.67470874130304	0.394569663122846	3.57465962974554e-10	1.00509879156221e-08
MPZL2	127.945312644588	-1.06821181440663	0.190536455589829	3.90297729446505e-10	1.07604738612181e-08
C1orf106	94.5987701304652	-1.16303341166206	0.209331545868969	4.09813916225297e-10	1.12191061037635e-08
NRXN1	54.8549039361133	-1.32406952910851	0.257545107087959	1.08382953496151e-09	2.78135299276695e-08
LOC284344	95.3521803121794	1.0960141001326	0.205639662242836	1.54656155599521e-09	3.85452629723799e-08
LOC643201	70.2157944606424	1.16015252695012	0.22018013990333	1.7308977742797e-09	4.27971343332617e-08
LINC00087	125.981583667628	-1.06331249666201	0.203334889961873	2.66700394388165e-09	6.37176693770621e-08
SLC4A8	95.7545200828644	-1.01151281432668	0.216572730480934	3.57946477801559e-08	6.79967351794498e-07
LOC90246	71.020609288937	1.03926609499775	0.223382230021546	3.72662969767773e-08	7.05342780081725e-07
SLC2A14	94.7602099062128	-1.01254639360301	0.218647333813277	4.22527433859063e-08	7.85406901816542e-07
KIAA0319	61.1838696638874	-1.13006893569412	0.249493883168565	4.74607845767749e-08	8.69760754532262e-07
PHACTR1	40.732848772307	-1.36008650539879	0.342293173839776	4.7673570322857e-08	8.72633613300992e-07
GRIK3	42.6276742867211	1.22612558467555	0.282863454495656	5.61907981428471e-08	1.00491855645365e-06
LOC339166	19.5379443914218	1.47785517973465	0.453414008632594	6.65633991252212e-08	1.16894934405138e-06
LOC100506688	61.6886204482016	-1.14423545505075	0.258802415395172	6.69799382704642e-08	1.17437912214789e-06
MAP6	76.9825787778949	-1.08909135016492	0.246463261044372	8.36980263362234e-08	1.42956596078876e-06
CRIP3	77.5469362920534	-1.13505706113266	0.263063734224518	1.02412098102387e-07	1.7116665795503e-06
FRK	60.8041252442022	-1.14838849362802	0.271461024299872	1.28424570074221e-07	2.09912857087738e-06
MEI1	25.0063465557699	-1.41880051654706	0.454382815379	1.54261668588924e-07	2.47980806151669e-06
HIST2H2BC	61.575316248994	1.04140741116587	0.252005888386611	2.7263703010873e-07	4.1635951156899e-06
SFN	57.9537371890461	-1.08098318387137	0.274867938937929	4.60988204118939e-07	6.60001218341977e-06
ATP5E	79.1604081630275	-1.01930331449307	0.272566754414236	1.05609530349637e-06	1.38708233917057e-05
COL4A3	60.1437415673488	-1.03370102076502	0.279706477797964	1.14376619611491e-06	1.47609329220232e-05
ALDH1A1	34.80020427718	-1.16719018788087	0.349033192689827	1.22522891859423e-06	1.56565962796902e-05
TMEM154	35.1178509708954	-1.16064005834018	0.356415311921612	1.52668355004052e-06	1.88889195067364e-05
C9orf103	31.2409441765329	1.12201033683844	0.351375653344154	2.33422661902971e-06	2.72770052847905e-05
ST6GALNAC1	32.1220156015122	-1.09373253652135	0.411919764953918	6.30525409040737e-06	6.64975917171805e-05
CPA2	18.7880500433714	1.08163975729555	0.427053220400314	7.755263357859e-06	7.96333139916742e-05
GRIN2C	17.6415285515581	1.01500893595892	0.450683443356955	1.65454899333913e-05	0.000154144196586385
