gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
APLP2	8392.249966235	1.20009234251797	0.0560272148778931	21.4198108032584	8.73429008393269e-102	1.3605403663742e-97
NID1	6124.72590565152	1.10929770577958	0.0554346486035872	20.0109089481591	4.42506077597526e-89	3.44645858536833e-85
LAMC1	5683.46708801965	1.17326501756035	0.0659326961674051	17.7948891181606	7.74204736499354e-71	4.01992906015015e-67
MAT2B	2195.38649042855	-1.11668747235498	0.0649471902520082	-17.1937764824314	2.95632789402932e-66	1.15126799013237e-62
CDKN1A	2752.3933381421	1.16749239516664	0.0689984292528361	16.9205648274762	3.17372201434039e-64	9.88741356347606e-61
CTNNB1	11003.5498447108	0.862622724942906	0.0516906934078668	16.6881631503056	1.59812492127096e-62	4.14899864977295e-59
ZFP36L1	1577.70646783558	1.1200854497711	0.0682184569697867	16.4190968181407	1.39629649663443e-60	3.10715864686779e-57
COL2A1	3444.44875424512	0.969308218699046	0.0625514393114974	15.4961776958005	3.68152398000649e-54	7.16838737957013e-51
TMCO1	1718.75785610096	1.03181451822013	0.0671879186706969	15.3571436447865	3.17247254837998e-53	5.49084498734611e-50
AKT3	3308.65194469616	-0.987241036390772	0.0647192669922569	-15.2542060853206	1.54361062874422e-52	2.40448227639487e-49
NUCKS1	23622.5901572346	-0.786002684171417	0.0517517973991549	-15.1879301526299	4.25133117156884e-52	6.02027142359344e-49
DHRS2	539.251174421826	1.69754239499093	0.114697692705136	14.8001442309303	1.46168858216115e-49	1.89739358702702e-46
FOSB	638.362878285845	1.41114196938082	0.097199937239978	14.517930869614	9.32837422021982e-48	1.11775450175665e-44
WDFY1	1422.73609085685	1.00013152252006	0.0701260746771285	14.2619065322681	3.7798506227184e-46	4.20562379643461e-43
TMEM194A	3819.93008005791	-0.87496264591471	0.0622205510203588	-14.0622773595884	6.47679090692717e-45	6.72593146381364e-42
MAPKAP1	2178.22292499371	-0.849120614260827	0.0618881130954532	-13.7202537254801	7.67961899926089e-43	7.47658907196793e-40
KLF10	1694.21092469274	0.983219550766703	0.0717202615352738	13.7090904260455	8.95736824917166e-43	8.20758383631453e-40
LAMP2	2645.5026965304	0.995206390093809	0.0728657164938807	13.6580883024376	1.80664574611401e-42	1.56345115484544e-39
DLG3	4543.65763909371	-0.737630955098055	0.0547304764403994	-13.4775175199018	2.12124627638253e-41	1.73908701301108e-38
PNMAL1	1734.65465002028	-0.85585028684844	0.0637186315472559	-13.4317116684107	3.94193500307567e-41	3.07017607714549e-38
LPGAT1	2733.26058793651	-0.912778707243652	0.0681392501506538	-13.3957844447294	6.39962797694739e-41	4.74700023794807e-38
RAP1A	1268.976643139	-1.02475543378466	0.0767151325247452	-13.3579308287594	1.06483111102921e-40	7.53948828022819e-38
KIF1C	2535.63852846747	-0.821501212668019	0.061676697633567	-13.3194746831083	1.78358042678225e-40	1.20794923078205e-37
