gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
MOV10	21681.7997982992	5.07963026197818	0.110114496617854	0	0
H1F0	7881.08111087538	1.55178674591889	0.0565776590032354	3.00466714814004e-166	2.34018500832887e-162
HIST1H1C	1741.38295039648	1.52331523091587	0.07060899625023	2.05885722324179e-104	1.06902729888125e-100
TXNIP	5133.7485819313	1.41938136664527	0.0696576272664259	1.62427903799981e-93	6.32534864373074e-90
NEAT1	21973.7061220782	0.916282341347849	0.0466942260116137	8.27539904329019e-87	2.57811781794663e-83
KLF10	1694.21092469274	1.23321139491615	0.0651895578236121	4.76764141781884e-81	1.23775917275607e-77
INSIG1	11872.5106252916	1.25236991253551	0.0698893306711743	4.54965535204577e-73	1.0124283059831e-69
NR1D1	969.911898302453	1.58513198415637	0.0921414108199943	1.71606430933175e-67	3.34139171830759e-64
WDFY1	1422.73609085685	1.0819535914571	0.0642790663557184	8.85934047241666e-65	1.5333549615426e-61
HSPA1A	31481.995377175	0.888162651979118	0.0531387021259394	7.2813861515852e-64	1.13422152083243e-60
HSPA6	168.252173523405	6.24626705351999	0.379261673618056	1.04249518086958e-60	1.47626794840049e-57
HMGCS1	11833.0545489203	0.922184360233592	0.0577878770703896	2.27574886129048e-58	2.95411166769349e-55
HSPA1B	29876.3390804655	0.82360483170745	0.0530212919677388	1.76900482432931e-55	2.11967601142905e-52
LAMC1	5683.46708801965	0.926596524941499	0.0597166060991078	2.01587151629253e-55	2.24294504352062e-52
TMCO1	1718.75785610096	0.949717415112672	0.0617356288667756	1.49752448097578e-54	1.55512925601065e-51
ADAMTS1	9567.07025319139	1.02841145790675	0.0690201614450213	2.81007525453499e-51	2.73578388999322e-48
ZFP36L1	1577.70646783558	0.931732276009403	0.062961603954213	1.2831849457306e-50	1.17577481762621e-47
MRC2	436.686318383262	1.58981004286552	0.108633552631503	1.11827426927102e-49	9.67742127357487e-47
COL2A1	3444.44875424512	0.832637248787165	0.0569417200873479	1.82380102971816e-49	1.49522887578525e-46
ZNF184	764.115693253902	1.11560572264365	0.076728348810352	4.74549977602557e-49	3.69603250055752e-46
C1orf95	219.673745481546	1.94508077230605	0.134357123716546	1.04748546141487e-48	7.769848110695e-46
ARRDC3	1996.72264555492	1.07346419894967	0.0747197442590304	5.2920830326038e-48	3.74703533631224e-45
DNAJB1	2961.57051532566	0.798895516360093	0.0559896336397749	3.21657543800657e-47	2.17846067816645e-44
HIST1H2BD	558.21163037165	1.52434685575395	0.107526885079704	9.01972763133994e-47	5.85417905472426e-44
RBM3	7329.51099101475	-0.679916344955688	0.0481946090274354	3.49036987953669e-46	2.17477966454172e-43
ATF3	4277.27376849375	0.714385617051882	0.0508191402898923	6.04459101180926e-46	3.6214074688828e-43
TEX261	2394.29342006114	-0.918215579406286	0.0660249514936872	5.69184818612508e-45	3.28377478501002e-42
FCGRT	580.629055157727	1.26984260824682	0.0923862653578244	3.34450084160799e-44	1.8606174860617e-41
HDGF	12116.9614884001	-0.593509237597371	0.0434855045502583	2.631468462306e-43	1.41346152542554e-40
BTG2	1874.92080817096	0.821622529368145	0.0610769302041321	2.23621784577972e-42	1.16111884612369e-39
SAT1	2856.29046986055	0.821155491691245	0.0613127537017406	3.49432291301349e-42	1.75584090374229e-39
POLR3H	1725.30177464964	-0.8032006783132	0.059940996164193	6.0261061974711e-42	2.93339550743773e-39
PLK2	1219.22439769335	1.04362547296355	0.0781385768348947	7.63906326986975e-42	3.60586935014427e-39
ODC1	8981.92787397786	-0.610729049383331	0.0457005727159383	9.49963601381727e-42	4.35223029962446e-39
SEC61A2	895.906001503779	-0.911403135168441	0.0702155820901484	1.23377081998371e-39	5.49098516082462e-37
HNRNPM	9938.53995734299	-0.630457693120451	0.0484026177961125	1.42090740406052e-39	6.14818739806966e-37
C11orf96	959.961336276994	1.19562139408953	0.0928722081328816	3.70805787821373e-39	1.56109236672798e-36
CREB3L2	2361.20987927367	0.697810078475857	0.0542982947663139	8.29814883971778e-39	3.40158590727063e-36
CDKN1A	2752.3933381421	0.810797694372994	0.0631532603435679	9.03450163787601e-39	3.60847261572294e-36
