	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
1/2-SBSRNA4	5.22609773265239	5.48677922214463	5.76186903025881	5.64619818943396	5.88627085374656	5.36080620076317	5.05335796113622	5.7321326332461
A1BG	5.53533442463248	5.45195940931411	6.39612179194539	6.19541199578964	5.99410952932413	6.12107485928276	5.9367740941654	5.7679798171068
A1BG-AS1	7.36292988684681	7.5718981516426	7.52425144988155	7.40651086960991	7.36399515144744	7.5757023875603	7.48936275436781	7.40514713280098
A1CF	0	1.04915498583224	0.873591161997045	0	0	0	0	0
A2LD1	6.55934253738069	6.45310126691991	6.85606545440115	6.81439991466699	6.33220124715694	6.35889057970566	6.39422981686826	6.08460312682956
A2M	2.88579151583808	3.40923573908209	1.41383017209649	2.44941090727856	2.0216395901114	3.17289023276037	3.21895815066636	2.66658107131703
A2ML1	1.5446504302868	1.65013722138078	2.58335250651618	2.44941090727856	2.0216395901114	1.4760667690282	1.02778590416034	0
A2MP1	0	0	1.41383017209649	0.920206440533657	2.48302244389572	0	1.62189271010242	1.22484716351885
A4GALT	5.20125077096378	5.34215454219028	6.49261151784366	6.73201889599702	6.65054374405921	5.48079410598853	5.78194779731566	5.65765013196656
A4GNT	0	0	0	0	1.33926565560582	0	0	0
AA06	0	0	0	0	0	0	0	0
AAA1	0	0	0.873591161997045	0	0	0	0	0
AAAS	10.5149965695535	10.5102495802701	10.5116322345525	10.5907280660212	10.3205048012257	10.5417377340073	10.4958770670971	10.5508631636011
AACS	9.98673861681802	9.94833804121932	9.63015664074861	9.75478284033949	9.53455361036858	9.70857985154764	9.64743383066141	9.73164125063995
AACSP1	0.712913768754427	1.04915498583224	1.80597503705566	0	1.33926565560582	0.919108427306555	1.02778590416034	2.32536356564879
AADAC	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
AADACL4	0	0	0.873591161997045	0.920206440533657	0	0	0	0
AADAT	9.09824063314408	9.17333261595262	8.94984208509983	9.00846888258925	9.1042075828929	8.98346843746332	9.08284928176918	9.12236123547804
AAGAB	11.5370188990711	11.4135007393682	11.1063753092232	11.0385497405923	11.1467361358037	11.5067735990198	11.5015938135082	11.4683266964956
AAK1	10.5287929792582	10.53229295183	10.6040114714813	10.4824071244079	10.5513434129947	10.5443222487462	10.7123317625756	10.5340460505087
