	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
1/2-SBSRNA4	5.43579011489409	5.48933764660085	5.54946632355941	5.52271614945582	5.56944856951163	5.46418681040485	5.41284105585867	5.53827837421327
A1BG	5.82553546243893	5.81807076221258	6.04674720168636	5.98810276994004	5.93370902543817	5.96797351368783	5.92075050756102	5.88415023770635
A1BG-AS1	7.41468848508795	7.49910294829313	7.48043480402728	7.4329491821822	7.41892985422053	7.50148117644115	7.46592188108767	7.43351411506863
A1CF	-1.73094986757582	-1.72428342453812	-1.72494797901855	-1.73006491250097	-1.72863530876831	-1.73006919289511	-1.7296619300326	-1.72899254841527
A2LD1	6.50281789822853	6.46996409260324	6.60104871097932	6.58562790684072	6.43903343808547	6.44188762367274	6.45289954780755	6.37585710868239
A2M	2.55518358142278	2.58192373587563	2.51043593030416	2.53720981116384	2.5284527989069	2.56938796629862	2.57107283506015	2.5458769865064
A2ML1	1.28619590041006	1.28884538251059	1.31551934477891	1.31022714258099	1.29636071943914	1.28534433274199	1.27891831265239	1.27130155513695
A2MP1	0.284304031777815	0.286128672527853	0.302200635601436	0.294412268125738	0.325199658488553	0.285436006123013	0.305827933623827	0.29871919612015
A4GALT	5.78456451954127	5.82551378271967	6.10776823276958	6.18517562086887	6.13943661962356	5.84710840248073	5.91377368625666	5.89080365483725
A4GNT	-2.09065322613937	-2.08951563249224	-2.09006969325833	-2.08991541020227	-2.08430306534479	-2.08991897890661	-2.0895794305622	-2.08902134525449
AA06	0	0	0	0	0	0	0	0
AAA1	-2.09001000250568	-2.08934635838226	-2.08709080936424	-2.0895795788548	-2.08888424948113	-2.08958166074904	-2.08938357660541	-2.08905800337831
AAAS	10.5098322703529	10.5070900401528	10.5078916573578	10.5532289809838	10.4017757548999	10.5250871382223	10.4989304179381	10.530104680268
AACS	9.87928731028216	9.85604562181384	9.68095864785712	9.74875711148662	9.63253066017936	9.7235028802679	9.69062621522158	9.73618421961402
AACSP1	0.486995896396165	0.492064508601375	0.505954060446888	0.481377398360862	0.49618176126341	0.490137197108279	0.491751004211789	0.51718591799571
AADAC	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
AADACL4	-1.73075509439048	-1.72949673644891	-1.72521991409904	-1.72504925271277	-1.72862051622021	-1.72994290118007	-1.72956730717353	-1.7289499768282
AADAT	9.0800005074687	9.11878206645081	9.00335583777265	9.03338537518631	9.0823505993324	9.02060465871703	9.07172752859906	9.09182817653436
AAGAB	11.457244798467	11.3834937482296	11.2058865891315	11.167754213335	11.2297655766305	11.4388926057967	11.4356678949293	11.415683496842
AAK1	10.541823765502	10.5439533928467	10.58490251947	10.51564147757	10.5548102382174	10.5507437816485	10.6473281489517	10.5450225338881
AAMP	11.6643402491338	11.657050898044	11.4731336895591	11.5198681135309	11.4704113548743	11.7378730921069	11.6922178238787	11.7106781445121
AANAT	2.76163705447509	2.79059293664928	2.8135328552372	2.81935746122983	2.77966908200601	2.77147639156768	2.74310501600108	2.80501718460262
AARS	11.818054902522	11.8166083777617	11.9133864135132	11.9363950555225	11.870002563344	11.8090569790317	11.7963201871254	11.8194956514178
AARS2	11.3322602741764	11.3530378449527	10.9900445739301	10.9877856970721	10.9968229149217	11.1153677576115	11.0944219797549	11.1178093222493
AARSD1	9.90780513333642	9.84318625922199	9.77431707221147	9.79913551165724	9.74833546352977	9.69046693903441	9.71312403621276	9.65495556794326
AASDH	9.65648518183236	9.65841469812564	9.65518419216724	9.66805918746442	9.70429146192185	9.57612514573004	9.58475804064394	9.57980359550073
AASDHPPT	11.7881063172074	11.7577808841978	11.7104731128474	11.6673793099213	11.7582985010835	11.9202633084403	11.8707965387579	11.8661866781692
AASS	10.0135202964779	10.0276540842624	10.0777436378824	9.96047196492658	10.1695463298459	9.89977581834086	9.87649636434086	9.83231459992652
AATF	11.4489650329392	11.4258898119119	11.2471825160013	11.2101727853876	11.2305789756143	11.4255664384653	11.3983888398645	11.3725609986369
