	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
1/2-SBSRNA4	7.01601586491179	7.1164461473047	7.23081455739473	7.18164727469618	7.28547774810954	7.06697310112093	6.95352696862143	7.21802332353386
A1BG	7.13599465424299	7.10259282085368	7.52954631877726	7.42954992232402	7.33438693152662	7.39381606154636	7.30820527942167	7.23345620606477
A1BG-AS1	8.08502862685912	8.22121470668844	8.18966745705906	8.11296430988201	8.08570852086881	8.22374605255037	8.16675229735395	8.11208640336994
A1CF	5.92512037883917	6.11636553693579	6.09386350056596	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917
A2LD1	7.61469953212288	7.55887932938412	7.77844251978267	7.75474937756753	7.49713948537419	7.51060655968351	7.52857954148694	7.37653852567324
A2M	6.39098320935821	6.49555295485828	6.16362355479309	6.31487970237935	6.24822297899033	6.44636608912915	6.45568802479916	6.35162158075627
A2ML1	6.18105825607534	6.19538458362011	6.33728742981092	6.31487970237935	6.24822297899033	6.17187573733848	6.11362912948527	5.92512037883917
A2MP1	5.92512037883917	5.92512037883917	6.16362355479309	6.09984980317716	6.32042834229116	5.92512037883917	6.19152304731309	6.13895259591843
A4GALT	7.00683221422967	7.05979879598931	7.57946661867505	7.70857818068955	7.66379460742215	7.11405513369414	7.23951123952945	7.18644463687762
A4GNT	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	6.15382663007459	5.92512037883917	5.92512037883917	5.92512037883917
AA06	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917
AAA1	5.92512037883917	5.92512037883917	6.09386350056596	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917
AAAS	10.6270576238142	10.6226594175533	10.6239403762354	10.6973612488518	10.4477239709479	10.6518530149932	10.6093491785739	10.6603217884736
AACS	10.1445237160581	10.1100462445951	9.827982606283	9.93766578615669	9.74458305830721	9.8968785594799	9.84312409636722	9.9172187815788
AACSP1	6.07301525835351	6.11636553693579	6.21706030975498	5.92512037883917	6.15382663007459	6.09970896957508	6.11362912948527	6.29481541046537
AADAC	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917
AADACL2	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917
AADACL3	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917
AADACL4	5.92512037883917	5.92512037883917	6.09386350056596	6.09984980317716	5.92512037883917	5.92512037883917	5.92512037883917	5.92512037883917
AADAT	9.37294475571507	9.43578873282947	9.25022322769021	9.2984676074128	9.3779204954579	9.27785597337756	9.36012464248544	9.39307771268826
AAGAB	11.5938208180858	11.4752209911757	11.1821772111368	11.1178548219061	11.2205245408131	11.5647434621603	11.5597660219687	11.5278148948056
AAK1	10.6398461413285	10.6430917898806	10.7097186240424	10.5968833950471	10.6607675823995	10.6542511737624	10.8107671304992	10.6447177073695
AAMP	11.7492634280381	11.737674872141	11.4334873858719	11.5115927816979	11.4271568767031	11.8683099913999	11.794817298002	11.8250638200848
AANAT	6.31539372119772	6.42891440247415	6.50606397835467	6.52640939968512	6.38111156913048	6.35148107810677	6.19152304731309	6.48781188653565
AARS	11.8456360173995	11.8430820566455	12.0015109090912	12.038842409881	11.9310428096856	11.8306828308447	11.809511017923	11.8477559415733
AARS2	11.5337992668474	11.5681169886678	10.9787001337377	10.9747315710018	10.9879453786526	11.1857971263913	11.1513757804952	11.1897398166053
AARSD1	10.1736366883349	10.0731727356206	9.96214248442716	10.0020866850813	9.91963632739094	9.8261160721803	9.86265789228872	9.76518128154056
AASDH	9.86783250455145	9.87141457377449	9.86595421163949	9.88669093901464	9.94683721895204	9.73811808724194	9.7517607303289	9.74272567513974
AASDHPPT	11.8335568585794	11.783483396834	11.7050305706772	11.6325411243823	11.784127598895	12.0487683703803	11.9687177345733	11.9614828384157
AASS	10.1919320464519	10.2152987420338	10.2948836063385	10.1065352193194	10.4445530650818	10.0075561201355	9.96857851000742	9.89297512155786
AATF	11.5785203784359	11.5419586851255	11.2488613946477	11.1869033897285	11.2195984861665	11.5412054511276	11.4973408313694	11.45542893322
AATK	8.00390898045936	8.35941895798007	8.7048352630097	8.77453488084239	8.72602142976777	8.44635581622312	8.60126759779358	8.65302288987387
AATK-AS1	6.07301525835351	5.92512037883917	6.37006175912211	5.92512037883917	6.32042834229116	6.27366242041411	6.19152304731309	6.29481541046537
ABAT	8.46474429430797	8.48917598853644	9.32394323980137	9.23299782159329	9.15360230678406	8.87666945457081	8.88624532053378	9.00998682218289
ABCA1	7.19087565715934	7.39217155013612	8.1592308488392	8.03235521239171	8.07712619634491	7.40257204918862	7.6246659673617	7.5840904530361
ABCA10	6.72523516737841	6.7689416099779	6.67183004605266	6.57381911274507	6.5673606330888	6.65837138874562	7.00005030362786	6.93106066411933
