gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
MOV10	21681.7997982992	5.07991187858849	0.109945436011418	0	0
H1F0	7881.08111087538	1.54093040774603	0.056458776903506	3.00469940675844e-166	2.34021013295381e-162
HIST1H1C	1741.38295039648	1.51089919955163	0.07036128012483	2.05887492357934e-104	1.06903648948651e-100
TXNIP	5133.7485819313	1.40800590953525	0.069319573096975	1.6242934083391e-93	6.32540460542452e-90
NEAT1	21973.7061220782	0.91168579936179	0.0468915206538039	8.27545511574291e-87	2.57813528675855e-83
KLF10	1694.21092469274	1.22504071828094	0.0648824912126103	4.76767339174553e-81	1.23776747372034e-77
INSIG1	11872.5106252916	1.2435298597136	0.0695358012105746	4.5496959206606e-73	1.012437333659e-69
NR1D1	969.911898302453	1.56350932087897	0.091726440666022	1.71607949496695e-67	3.34142128663753e-64
WDFY1	1422.73609085685	1.07495156734244	0.0642101804934828	8.85939114785126e-65	1.53336373233421e-61
HSPA1A	31481.995377175	0.882755579061785	0.053503701002376	7.28143609777653e-64	1.13422930095065e-60
HSPA6	168.252173523405	6.20039598749462	0.380045884015707	1.04259508467801e-60	1.4764094212754e-57
HMGCS1	11833.0545489203	0.915125239127276	0.0581690653725012	2.27576370853749e-58	2.95413094065737e-55
HSPA1B	29876.3390804655	0.816767937548322	0.0534648341302907	1.76901602777468e-55	2.11968943574202e-52
LAMC1	5683.46708801965	0.919758637449828	0.0601186093877016	2.0158826455424e-55	2.24295742640099e-52
TMCO1	1718.75785610096	0.942786600873605	0.0620973701956115	1.49753206177109e-54	1.55513712841389e-51
ADAMTS1	9567.07025319139	1.01921925583307	0.0691713505269165	2.81009521013835e-51	2.73580331802032e-48
ZFP36L1	1577.70646783558	0.924139432005195	0.0634542895874801	1.28319118343011e-50	1.17578053319358e-47
MRC2	436.686318383262	1.56015102220647	0.107961641128329	1.11828321372481e-49	9.67749867788406e-47
COL2A1	3444.44875424512	0.824616089714533	0.0574780426156507	1.82380977796208e-49	1.49523604796397e-46
ZNF184	764.115693253902	1.10541940125338	0.0765641187157682	4.74552661551782e-49	3.69605340449606e-46
C1orf95	219.673745481546	1.89744812978632	0.135126716194931	1.04749498158632e-48	7.76991872770004e-46
ARRDC3	1996.72264555492	1.06382194061101	0.0746749192924391	5.29211625848391e-48	3.74705886174563e-45
DNAJB1	2961.57051532566	0.790645034661561	0.0565231919768186	3.21659158855431e-47	2.17847161630046e-44
HIST1H2BD	558.21163037165	1.49613075880565	0.106706478435731	9.01979104790578e-47	5.85422021471785e-44
RBM3	7329.51099101475	-0.67255384100556	0.0484075344985998	3.49035543037963e-46	2.17477066156094e-43
ATF3	4277.27376849375	0.706855183111273	0.0511300636339471	6.04461732766341e-46	3.62142323511588e-43
TEX261	2394.29342006114	-0.90915744637605	0.0666686834664227	5.69182114971622e-45	3.2837591870048e-42
