gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
MOV10	21681.7997982992	5.07991187858849	0.109945436011418	0	0
H1F0	7881.08111087538	1.54093040774603	0.056458776903506	3.00469940675844e-166	2.34021013295381e-162
HIST1H1C	1741.38295039648	1.51089919955163	0.07036128012483	2.05887492357934e-104	1.06903648948651e-100
TXNIP	5133.7485819313	1.40800590953525	0.069319573096975	1.6242934083391e-93	6.32540460542452e-90
KLF10	1694.21092469274	1.22504071828094	0.0648824912126103	4.76767339174553e-81	1.23776747372034e-77
INSIG1	11872.5106252916	1.2435298597136	0.0695358012105746	4.5496959206606e-73	1.012437333659e-69
NR1D1	969.911898302453	1.56350932087897	0.091726440666022	1.71607949496695e-67	3.34142128663753e-64
WDFY1	1422.73609085685	1.07495156734244	0.0642101804934828	8.85939114785126e-65	1.53336373233421e-61
HSPA6	168.252173523405	6.20039598749462	0.380045884015707	1.04259508467801e-60	1.4764094212754e-57
ADAMTS1	9567.07025319139	1.01921925583307	0.0691713505269165	2.81009521013835e-51	2.73580331802032e-48
MRC2	436.686318383262	1.56015102220647	0.107961641128329	1.11828321372481e-49	9.67749867788406e-47
ZNF184	764.115693253902	1.10541940125338	0.0765641187157682	4.74552661551782e-49	3.69605340449606e-46
C1orf95	219.673745481546	1.89744812978632	0.135126716194931	1.04749498158632e-48	7.76991872770004e-46
ARRDC3	1996.72264555492	1.06382194061101	0.0746749192924391	5.29211625848391e-48	3.74705886174563e-45
HIST1H2BD	558.21163037165	1.49613075880565	0.106706478435731	9.01979104790578e-47	5.85422021471785e-44
FCGRT	580.629055157727	1.25303696966253	0.0915986001340489	3.34452133320448e-44	1.86062888597593e-41
PLK2	1219.22439769335	1.03319522971141	0.0783144722898052	7.63910511143679e-42	3.60588910063184e-39
C11orf96	959.961336276994	1.17973727871269	0.0921975823518048	3.70808170310163e-39	1.56110239700579e-36
CRABP2	1076.1525105273	1.00494410752558	0.0852418038707662	2.47403115153525e-34	8.19957090371587e-32
SLFN5	339.241634532502	1.22094414325258	0.104791616401551	4.88966194136322e-33	1.46473584731952e-30
EGFR	473.602809513985	1.07105062610032	0.0988825431778967	2.33528997161545e-29	5.12349463209209e-27
C10orf10	335.822307880989	1.12101448185215	0.106194487066622	6.3291670321793e-28	1.13321189494548e-25
HIST2H2BE	805.86137009858	1.00489283519456	0.097894799925828	5.17134936076406e-27	8.56958606304486e-25
LPPR3	162.361839170674	1.70674362499475	0.170840030059595	1.59067985641938e-26	2.45326931915294e-24
ERAP2	418.986786223063	1.10123101307321	0.108449708941019	3.54835621817314e-26	5.31468700100799e-24
INHBE	151.415056115686	1.68595741796317	0.175763641772092	9.92750550374421e-25	1.33310994165365e-22
ZNF467	228.548518278366	1.32245459550339	0.134174571109237	1.0709386027082e-24	1.41372971308353e-22
