gene_id	chr	start	end	strand	size	locus_tag	gene_name	biotype	description
LINF_010005000	LinJ.01	3710	4711	-	1002	LINF_010005000	-	protein_coding	Protein of unknown function (DUF2946)
LINF_010005100	LinJ.01	5804	7438	-	1635	LINF_010005100	-	protein_coding	Endonuclease/Exonuclease/phosphatase family
LINF_010005200	LinJ.01	9038	11059	-	2022	LINF_010005200	KIN13-1	protein_coding	Kinesin-13
LINF_010005300	LinJ.01	12041	12601	-	561	LINF_010005300	-	protein_coding	hypothetical protein - conserved
LINF_010005400	LinJ.01	14957	16954	-	1998	LINF_010005400	-	protein_coding	carboxylase - putative
LINF_010005500	LinJ.01	18110	18859	-	750	LINF_010005500	-	protein_coding	hypothetical protein - conserved
LINF_010005600	LinJ.01	19950	21689	-	1740	LINF_010005600	-	protein_coding	BSD domain containing protein - putative
LINF_010005700	LinJ.01	22529	23242	-	714	LINF_010005700	-	protein_coding	hypothetical protein - conserved
LINF_010005800	LinJ.01	24799	25617	-	819	LINF_010005800	-	protein_coding	UMP-CMP kinase - mitochondrial - putative
LINF_010005900	LinJ.01	26313	27269	-	957	LINF_010005900	-	protein_coding	Glycosyl transferase family 11 - putative
LINF_010006000	LinJ.01	28369	28956	-	588	LINF_010006000	-	protein_coding	monothiol glutaredoxin - putative
LINF_010006100	LinJ.01	30160	32133	-	1974	LINF_010006100	-	protein_coding	hypothetical protein - conserved
LINF_010006200	LinJ.01	33423	34517	-	1095	LINF_010006200	-	protein_coding	hypothetical protein - conserved
LINF_010006300	LinJ.01	36819	37067	-	249	LINF_010006300	-	protein_coding	hypothetical protein - conserved
LINF_010006400	LinJ.01	37805	38155	-	351	LINF_010006400	-	protein_coding	hypothetical protein - conserved
LINF_010006500	LinJ.01	39020	39262	-	243	LINF_010006500	-	protein_coding	LSM domain containing protein - putative
LINF_010006600	LinJ.01	41389	42762	-	1374	LINF_010006600	-	protein_coding	hypothetical protein - conserved
LINF_010006700	LinJ.01	44184	46496	-	2313	LINF_010006700	-	protein_coding	CLC-type chloride channel - putativeGeneDB:LmjF.01.0180
LINF_010006800	LinJ.01	47933	48556	-	624	LINF_010006800	-	protein_coding	hypothetical protein - conserved
LINF_010006900	LinJ.01	49244	50050	-	807	LINF_010006900	-	protein_coding	Low molecular weight phosphotyrosine protein phosphatase - putative
LINF_010007000	LinJ.01	51015	53711	-	2697	LINF_010007000	-	protein_coding	UBA/TS-N domain/CUE domain/Domain of unknown function (DUF1771)/Smr domain containing protein - putative
LINF_010007100	LinJ.01	57346	58350	-	1005	LINF_010007100	CYP12	protein_coding	cyclophilin 12 - putative
LINF_010007200	LinJ.01	61569	61985	-	417	LINF_010007200	-	protein_coding	hypothetical protein - conserved
LINF_010007300	LinJ.01	62737	65505	-	2769	LINF_010007300	-	protein_coding	DNA excision/repair protein SNF2 - putative
LINF_010007400	LinJ.01	66313	68700	-	2388	LINF_010007400	-	protein_coding	Right handed beta helix region/Periplasmic copper-binding protein (NosD) - putative
LINF_010007500	LinJ.01	70170	71015	-	846	LINF_010007500	-	protein_coding	Calmodulin-binding - putative
LINF_010007600	LinJ.01	72375	72698	-	324	LINF_010007600	-	protein_coding	thioredoxin - putative
LINF_010007700	LinJ.01	74177	75418	-	1242	LINF_010007700	-	protein_coding	pseudouridylate synthase-like protein
LINF_010007800	LinJ.01	76639	77157	-	519	LINF_010007800	-	protein_coding	Cytochrome c oxidase biogenesis protein Cmc1 like - putative
LINF_010007900	LinJ.01	78068	78247	-	180	LINF_010007900	-	protein_coding	4F5 protein family - putative
LINF_010008000	LinJ.01	78817	79980	-	1164	LINF_010008000	-	protein_coding	acidocalcisomal exopolyphosphatase - putative
LINF_010008100	LinJ.01	80340	80771	-	432	LINF_010008100	-	protein_coding	hypothetical protein - conserved
LINF_010008200	LinJ.01	81741	82664	+	924	LINF_010008200	-	protein_coding	poly(A) export protein - putative
LINF_010008300	LinJ.01	83113	83745	+	633	LINF_010008300	-	protein_coding	hypothetical protein - conserved
LINF_010008400	LinJ.01	84325	84618	+	294	LINF_010008400	MPC1	protein_coding	Uncharacterised protein family (UPF0041) - putative
LINF_010008500	LinJ.01	85705	86481	+	777	LINF_010008500	-	protein_coding	hypothetical protein - conserved
LINF_010008600	LinJ.01	88139	90385	+	2247	LINF_010008600	-	protein_coding	hypothetical protein - conserved
LINF_010008700	LinJ.01	91224	91793	+	570	LINF_010008700	-	protein_coding	hypothetical protein - conserved
LINF_010008800	LinJ.01	92426	92992	+	567	LINF_010008800	-	protein_coding	Protein of unknown function (DUF788) - putative
LINF_010008900	LinJ.01	93860	96310	+	2451	LINF_010008900	-	protein_coding	Dyggve-Melchior-Clausen syndrome protein - putative
LINF_010009000	LinJ.01	97206	99671	+	2466	LINF_010009000	-	protein_coding	hypothetical protein - conserved
LINF_010009100	LinJ.01	100535	102241	+	1707	LINF_010009100	-	protein_coding	hypothetical protein - conserved
LINF_010009200	LinJ.01	102868	103470	+	603	LINF_010009200	-	protein_coding	ribosomal protein S7 - putative
