gene_id	chr	start	end	strand	size	locus_tag	gene_name	gbkey	description
exon-LgyM4147_000005000.1-1	CP103914.1	3908	4906	-	999	NXY56_000001	-	mRNA	Protein of unknown function (DUF2946)%2C putative
exon-LgyM4147_000005100.1-1	CP103914.1	5943	7604	-	1662	NXY56_000002	-	mRNA	Endonuclease/Exonuclease/phosphatase family%2C putative
exon-LgyM4147_000005200.1-1	CP103914.1	9157	11148	-	1992	NXY56_000003	-	mRNA	Kinesin-13 1%2C putative
exon-LgyM4147_000005300.1-1	CP103914.1	12127	12687	-	561	NXY56_000004	-	mRNA	hypothetical protein
exon-LgyM4147_000005400.1-1	CP103914.1	14884	16881	-	1998	NXY56_000005	-	mRNA	carboxylase%2C putative
exon-LgyM4147_000005500.1-1	CP103914.1	18136	18852	-	717	NXY56_000006	-	mRNA	hypothetical protein
exon-LgyM4147_000005600.1-1	CP103914.1	19986	21836	-	1851	NXY56_000007	-	mRNA	BSD domain containing protein%2C putative
exon-LgyM4147_000005700.1-1	CP103914.1	22680	23567	-	888	NXY56_000008	-	mRNA	hypothetical protein
exon-LgyM4147_000005800.1-1	CP103914.1	24906	26402	-	1497	NXY56_000009	-	mRNA	UMP-CMP kinase%2C mitochondrial%2C putative
exon-LgyM4147_000005900.1-1	CP103914.1	26454	27416	-	963	NXY56_000010	-	mRNA	Glycosyl transferase family 11%2C putative
exon-LgyM4147_000006000.1-1	CP103914.1	28568	29155	-	588	NXY56_000011	-	mRNA	monothiol glutaredoxin%2C putative
exon-LgyM4147_000006100.1-1	CP103914.1	30599	32320	-	1722	NXY56_000012	-	mRNA	hypothetical protein
exon-LgyM4147_000006200.1-1	CP103914.1	33667	34863	-	1197	NXY56_000013	-	mRNA	hypothetical protein
exon-LgyM4147_000006300.1-1	CP103914.1	36961	37209	-	249	NXY56_000014	-	mRNA	hypothetical protein
exon-LgyM4147_000006400.1-1	CP103914.1	37910	38260	-	351	NXY56_000015	-	mRNA	hypothetical protein
exon-LgyM4147_000006500.1-1	CP103914.1	39093	39335	-	243	NXY56_000016	-	mRNA	LSM domain containing protein%2C putative
exon-LgyM4147_000006600.1-1	CP103914.1	41594	42889	-	1296	NXY56_000017	-	mRNA	hypothetical protein
exon-LgyM4147_000006700.1-1	CP103914.1	44253	46559	-	2307	NXY56_000018	-	mRNA	CLC-type chloride channel%2C putative
exon-LgyM4147_000006800.1-1	CP103914.1	47607	48185	-	579	NXY56_000019	-	mRNA	hypothetical protein
exon-LgyM4147_000006900.1-1	CP103914.1	48860	49660	-	801	NXY56_000020	-	mRNA	Low molecular weight phosphotyrosine protein phosphatase%2C putative
exon-LgyM4147_000007000.1-1	CP103914.1	50369	53029	-	2661	NXY56_000021	-	mRNA	UBA/TS-N domain/CUE domain/Domain of unknown function (DUF1771)/Smr domain containing protein%2C putative
exon-LgyM4147_000007100.1-1	CP103914.1	57221	58234	-	1014	NXY56_000022	-	mRNA	cyclophilin 12%2C putative
exon-LgyM4147_000007200.1-1	CP103914.1	59704	60120	-	417	NXY56_000023	-	mRNA	hypothetical protein
exon-LgyM4147_000007300.1-1	CP103914.1	61326	63851	-	2526	NXY56_000024	-	mRNA	DNA excision/repair protein SNF2%2C putative
exon-LgyM4147_000007400.1-1	CP103914.1	64836	67223	-	2388	NXY56_000025	-	mRNA	Right handed beta helix region/Periplasmic copper-binding protein (NosD)%2C putative
exon-LgyM4147_000007500.1-1	CP103914.1	68685	69560	-	876	NXY56_000026	-	mRNA	Calmodulin-binding%2C putative
exon-LgyM4147_000007600.1-1	CP103914.1	70806	71129	-	324	NXY56_000027	-	mRNA	thioredoxin%2C putative
exon-LgyM4147_000007700.1-1	CP103914.1	72930	74171	-	1242	NXY56_000028	-	mRNA	pseudouridylate synthase-like protein
exon-LgyM4147_000007800.1-1	CP103914.1	75870	76388	-	519	NXY56_000029	-	mRNA	Cytochrome c oxidase biogenesis protein Cmc1 like%2C putative
exon-LgyM4147_000007900.1-1	CP103914.1	77869	79032	-	1164	NXY56_000030	-	mRNA	acidocalcisomal exopolyphosphatase%2C putative
exon-LgyM4147_000008000.1-1	CP103914.1	79372	79824	-	453	NXY56_000031	-	mRNA	hypothetical protein
exon-LgyM4147_000008100.1-1	CP103914.1	80777	81700	+	924	NXY56_000032	-	mRNA	poly(A) export protein%2C putative
exon-LgyM4147_000008200.1-1	CP103914.1	82112	82747	+	636	NXY56_000033	-	mRNA	hypothetical protein
exon-LgyM4147_000008300.1-1	CP103914.1	83340	83633	+	294	NXY56_000034	-	mRNA	Uncharacterized protein family (UPF0041)%2C putative
exon-LgyM4147_000008400.1-1	CP103914.1	84632	85408	+	777	NXY56_000035	-	mRNA	hypothetical protein
exon-LgyM4147_000008500.1-1	CP103914.1	88542	90761	+	2220	NXY56_000036	-	mRNA	hypothetical protein
exon-LgyM4147_000008600.1-1	CP103914.1	91727	92203	+	477	NXY56_000037	-	mRNA	hypothetical protein
exon-LgyM4147_000008700.1-1	CP103914.1	92923	93489	+	567	NXY56_000038	-	mRNA	Protein of unknown function (DUF788)%2C putative
exon-LgyM4147_000008800.1-1	CP103914.1	94085	96562	+	2478	NXY56_000039	-	mRNA	Dyggve-Melchior-Clausen syndrome protein%2C putative
exon-LgyM4147_000008900.1-1	CP103914.1	97411	99858	+	2448	NXY56_000040	-	mRNA	hypothetical protein
exon-LgyM4147_000009000.1-1	CP103914.1	101122	102840	+	1719	NXY56_000041	-	mRNA	hypothetical protein
exon-LgyM4147_000009100.1-1	CP103914.1	103560	104162	+	603	NXY56_000042	-	mRNA	ribosomal protein S7%2C putative
exon-LgyM4147_000009200.1-1	CP103914.1	105494	106096	+	603	NXY56_000043	-	mRNA	ribosomal protein S7%2C putative
exon-LgyM4147_000009300.1-1	CP103914.1	106946	109324	+	2379	NXY56_000044	-	mRNA	Ring finger domain/Zn-finger in ubiquitin-hydrolase-like protein%2C putative
exon-LgyM4147_000009400.1-1	CP103914.1	110584	112338	+	1755	NXY56_000045	-	mRNA	Protein of unknown function (DUF791)%2C putative
exon-LgyM4147_000009500.1-1	CP103914.1	115652	116320	+	669	NXY56_000046	-	mRNA	nicotinamidase%2C putative
exon-LgyM4147_000009600.1-1	CP103914.1	118288	122697	+	4410	NXY56_000047	-	mRNA	hypothetical protein
exon-LgyM4147_000009700.1-1	CP103914.1	127568	129658	+	2091	NXY56_000048	-	mRNA	long-chain-fatty-acid-CoA ligase%2C putative
exon-LgyM4147_000009800.1-1	CP103914.1	130633	130983	+	351	NXY56_000049	-	mRNA	-
exon-LgyM4147_000009800.1-2	CP103914.1	130986	132302	+	1317	NXY56_000049	-	mRNA	-
exon-LgyM4147_000009900.1-1	CP103914.1	135517	137613	+	2097	NXY56_000050	-	mRNA	long-chain-fatty-acid-CoA ligase%2C putative
exon-LgyM4147_000010000.1-1	CP103914.1	139232	139555	+	324	NXY56_000051	-	mRNA	hypothetical protein
exon-LgyM4147_000010100.1-1	CP103914.1	140963	143107	+	2145	NXY56_000052	-	mRNA	long-chain-fatty-acid-CoA ligase%2C putative
exon-LgyM4147_000010200.1-1	CP103914.1	148403	153214	+	4812	NXY56_000053	-	mRNA	long-chain-fatty-acid-CoA ligase%2C putative
exon-LgyM4147_000010300.1-1	CP103914.1	154324	156456	+	2133	NXY56_000054	-	mRNA	hypothetical protein
exon-LgyM4147_000010400.1-1	CP103914.1	157283	159289	+	2007	NXY56_000055	-	mRNA	Zinc knuckle%2C putative
exon-LgyM4147_000010500.1-1	CP103914.1	160367	162142	+	1776	NXY56_000056	-	mRNA	pre-mRNA processing factor 3 (PRP3)/Protein of unknown function (DUF1115)%2C putative
