gene_id	chr	start	end	strand	size	locus_tag	gene_name	biotype	description
LmjF.01.0010	LmjF.01	3704	4702	-	999	LmjF.01.0010	-	protein_coding	Protein of unknown function (DUF2946)%2C putative
LmjF.01.0020	LmjF.01	5790	7439	-	1650	LmjF.01.0020	-	protein_coding	Endonuclease/Exonuclease/phosphatase family%2C putative
LmjF.01.0030	LmjF.01	9061	11067	-	2007	LmjF.01.0030	KIN13-1	protein_coding	Kinesin-13 1%2C putative
LmjF.01.0040	LmjF.01	12073	12642	-	570	LmjF.01.0040	-	protein_coding	hypothetical protein%2C unknown function
LmjF.01.0050	LmjF.01	15025	17022	-	1998	LmjF.01.0050	-	protein_coding	carboxylase%2C putative
LmjF.01.0060	LmjF.01	18137	18886	-	750	LmjF.01.0060	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0070	LmjF.01	19951	21747	-	1797	LmjF.01.0070	-	protein_coding	BSD domain containing protein%2C putative
LmjF.01.0080	LmjF.01	22613	23326	-	714	LmjF.01.0080	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0090	LmjF.01	24859	25683	-	825	LmjF.01.0090	-	protein_coding	UMP-CMP kinase%2C mitochondrial%2C putative
LmjF.01.0100	LmjF.01	26405	27451	-	1047	LmjF.01.0100	FUT1	protein_coding	Fucosyltransferase 1
LmjF.01.0110	LmjF.01	28521	29108	-	588	LmjF.01.0110	-	protein_coding	monothiol glutaredoxin%2C putative
LmjF.01.0120	LmjF.01	30278	32251	-	1974	LmjF.01.0120	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0130	LmjF.01	33630	34826	-	1197	LmjF.01.0130	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0140	LmjF.01	36878	37126	-	249	LmjF.01.0140	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0150	LmjF.01	37714	38064	-	351	LmjF.01.0150	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0160	LmjF.01	38940	39182	-	243	LmjF.01.0160	-	protein_coding	LSM domain containing protein%2C putative
LmjF.01.0170	LmjF.01	41273	42649	-	1377	LmjF.01.0170	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0180	LmjF.01	44148	46466	-	2319	LmjF.01.0180	-	protein_coding	CLC-type chloride channel%2C putative
LmjF.01.0190	LmjF.01	47548	48138	-	591	LmjF.01.0190	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0200	LmjF.01	48851	49651	-	801	LmjF.01.0200	-	protein_coding	Low molecular weight phosphotyrosine protein phosphatase%2C putative
LmjF.01.0210	LmjF.01	50677	53370	-	2694	LmjF.01.0210	-	protein_coding	CUE domain/Domain of unknown function (DUF1771)/Smr domain containing protein%2C putative
LmjF.01.0220	LmjF.01	57026	58033	-	1008	LmjF.01.0220	CYP12	protein_coding	cyclophilin 12%2C putative
LmjF.01.0230	LmjF.01	58837	59253	-	417	LmjF.01.0230	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0240	LmjF.01	60056	62833	-	2778	LmjF.01.0240	-	protein_coding	DNA excision/repair protein SNF2%2C putative
LmjF.01.0250	LmjF.01	63619	66090	-	2472	LmjF.01.0250	-	protein_coding	Right handed beta helix region%2C putative
LmjF.01.0260	LmjF.01	67443	68288	-	846	LmjF.01.0260	-	protein_coding	Calmodulin-binding%2C putative
LmjF.01.0270	LmjF.01	69584	69907	-	324	LmjF.01.0270	-	protein_coding	thioredoxin%2C putative
LmjF.01.0280	LmjF.01	71546	72787	-	1242	LmjF.01.0280	-	protein_coding	pseudouridylate synthase-like protein
LmjF.01.0290	LmjF.01	74034	74552	-	519	LmjF.01.0290	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0300	LmjF.01	75474	75653	-	180	LmjF.01.0300	-	protein_coding	4F5 protein family%2C putative
LmjF.01.0310	LmjF.01	76217	77383	-	1167	LmjF.01.0310	-	protein_coding	acidocalcisomal exopolyphosphatase%2C putative
LmjF.01.0315	LmjF.01	77741	78172	-	432	LmjF.01.0315	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0320	LmjF.01	79049	80068	+	1020	LmjF.01.0320	-	protein_coding	poly(A) export protein%2C putative
LmjF.01.0330	LmjF.01	80472	81164	+	693	LmjF.01.0330	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0335	LmjF.01	81749	82042	+	294	LmjF.01.0335	MPC1	protein_coding	Mitochondrial pyruvate carrier 1
LmjF.01.0340	LmjF.01	83341	84117	+	777	LmjF.01.0340	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0350	LmjF.01	85901	88105	+	2205	LmjF.01.0350	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0360	LmjF.01	88974	89543	+	570	LmjF.01.0360	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0370	LmjF.01	90100	90666	+	567	LmjF.01.0370	-	protein_coding	Protein of unknown function (DUF788)%2C putative
LmjF.01.0380	LmjF.01	91351	93807	+	2457	LmjF.01.0380	-	protein_coding	Dyggve-Melchior-Clausen syndrome protein%2C putative
LmjF.01.0390	LmjF.01	94762	97230	+	2469	LmjF.01.0390	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0400	LmjF.01	98194	99873	+	1680	LmjF.01.0400	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0410	LmjF.01	100528	101130	+	603	LmjF.01.0410	-	protein_coding	ribosomal protein S7%2C putative
LmjF.01.0420	LmjF.01	102444	103046	+	603	LmjF.01.0420	-	protein_coding	ribosomal protein S7%2C putative
LmjF.01.0430	LmjF.01	103842	106073	+	2232	LmjF.01.0430	-	protein_coding	Ring finger domain/Zn-finger in ubiquitin-hydrolases and other protein%2C putative
LmjF.01.0440	LmjF.01	107438	109201	+	1764	LmjF.01.0440	-	protein_coding	Protein of unknown function (DUF791)%2C putative
LmjF.01.0450	LmjF.01	112139	112795	+	657	LmjF.01.0450	PNC1	protein_coding	nicotinamidase%2C putative
LmjF.01.0460	LmjF.01	114558	119183	+	4626	LmjF.01.0460	-	protein_coding	conserved protein
LmjF.01.0470	LmjF.01	121759	123849	+	2091	LmjF.01.0470	-	protein_coding	fatty acyl CoA syntetase 1%2C putative
LmjF.01.0480	LmjF.01	124711	125790	+	1080	LmjF.01.0480	-	protein_coding	beta eliminating lyase%2Cputative
LmjF.01.0490	LmjF.01	127704	129800	+	2097	LmjF.01.0490	-	protein_coding	long-chain-fatty-acid-CoA ligase%2C putative
LmjF.01.0500	LmjF.01	130947	133070	+	2124	LmjF.01.0500	-	protein_coding	fatty acyl CoA synthetase 2%2C putative
LmjF.01.0510	LmjF.01	136526	137110	+	585	LmjF.01.0510	-	protein_coding	fatty acyl CoA synthetase 2%2C putative
LmjF.01.0520	LmjF.01	137710	139857	+	2148	LmjF.01.0520	-	protein_coding	long-chain-fatty-acid-CoA ligase%2C putative
LmjF.01.0530	LmjF.01	143750	148573	+	4824	LmjF.01.0530	-	protein_coding	long-chain-fatty-acid-CoA ligase%2C putative
LmjF.01.0540	LmjF.01	149673	151652	+	1980	LmjF.01.0540	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0550	LmjF.01	152788	153657	+	870	LmjF.01.0550	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0560	LmjF.01	154977	156839	+	1863	LmjF.01.0560	-	protein_coding	pre-mRNA processing factor 3 (PRP3)/Protein of unknown function (DUF1115)%2C putative
LmjF.01.0570	LmjF.01	157437	158417	+	981	LmjF.01.0570	-	protein_coding	tricarboxylate carrier%2C putative
LmjF.01.0580	LmjF.01	159196	162105	+	2910	LmjF.01.0580	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0590	LmjF.01	162904	164482	+	1579	LmjF.01.0590	KREL1	protein_coding	mitochondrial RNA editing ligase 1
LmjF.01.0600	LmjF.01	165535	171000	+	5466	LmjF.01.0600	-	protein_coding	Rab-GTPase-TBC domain containing protein%2C putative
LmjF.01.0610	LmjF.01	171562	172734	+	1173	LmjF.01.0610	-	protein_coding	DNA-damage inducible protein DDI1-like protein
LmjF.01.0620	LmjF.01	173376	175259	+	1884	LmjF.01.0620	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0630	LmjF.01	177152	179605	+	2454	LmjF.01.0630	-	protein_coding	hypothetical protein%2C unknown function
LmjF.01.0640	LmjF.01	181458	184796	+	3339	LmjF.01.0640	HSP70.a	protein_coding	HSP70-like protein
LmjF.01.0650	LmjF.01	185785	187269	+	1485	LmjF.01.0650	MPPB	protein_coding	mitochondrial-processing peptidase subunit beta%2C putative
LmjF.01.0660	LmjF.01	188417	193030	+	4614	LmjF.01.0660	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0670	LmjF.01	194045	194962	+	918	LmjF.01.0670	-	protein_coding	hypothetical protein%2C conserved
